ts,n_changed_pages,change_vol_bytes,entropy_mean,max_page_addr_changed
1779937751.6866372,36,337,1.1591,137030885670912
1779937752.2280028,37,339,1.1952,137030889193472
1779937752.7701037,35,328,1.1992,137030885670912
1779937753.317986,37,339,1.2178,137030889193472
1779937753.8603308,35,326,1.1952,137030885670912
1779937754.4018564,37,335,1.1815,137030889193472
1779937754.9434917,35,333,1.2265,137030885670912
1779937755.4841099,37,334,1.1817,137030889193472
1779937756.025992,35,329,1.2107,137030885670912
1779937756.5677726,37,336,1.2132,137030889193472
1779937757.1119204,36,331,1.2102,137030889193472
1779937757.61203,36,331,1.1567,137030885670912
1779937758.1529303,36,338,1.2357,137030889193472
1779937758.7012126,36,329,1.1561,137030885670912
1779937759.2431805,36,333,1.2277,137030889193472
1779937759.7703404,36,333,1.1781,137030885670912
1779937760.310678,37,336,1.2282,137030889193472
1779937760.8508813,35,325,1.1880,137030885670912
1779937761.3908994,37,339,1.2244,137030889193472
1779937761.9312718,35,325,1.2004,137030885670912
1779937762.4727855,37,344,1.1979,137030889193472
1779937762.9873793,35,372,1.2374,137030885670912
1779937763.5365374,37,330,1.1729,137030889193472
1779937764.085235,35,337,1.2106,137030885670912
1779937764.631935,37,337,1.2476,137030889193472
1779937765.1811595,36,332,1.2148,137030889193472
1779937765.6934247,36,330,1.1667,137030885670912
1779937766.2425282,36,333,1.2471,137030889193472
1779937766.7874296,36,325,1.1601,137030885670912
1779937767.3326201,37,336,1.1956,137030889193472
1779937767.8780823,35,331,1.2274,137030885670912
1779937768.422376,37,333,1.1857,137030889193472
1779937768.9692214,35,328,1.2032,137030885670912
1779937769.4923663,37,335,1.2164,137030889193472
1779937770.0323744,35,327,1.2034,137030885670912
1779937770.571014,37,347,1.2908,137030889193472
1779937771.1095018,35,327,1.2213,137030885670912
1779937771.6468806,37,335,1.1743,137030889193472
1779937772.1881437,36,333,1.2084,137030889193472
1779937772.731697,36,332,1.1960,137030885670912
1779937773.2323174,36,332,1.2507,137030889193472
1779937773.7405822,36,329,1.1649,137030885670912
1779937774.2841744,36,336,1.2339,137030889193472
1779937774.8275995,36,329,1.1656,137030885670912
1779937775.3668327,37,365,1.2502,137030889193472
1779937775.9060633,35,534,1.4255,137030885670912
1779937776.4436657,37,336,1.1788,137030889193472
1779937776.9832585,35,325,1.1953,137030885670912
1779937777.5225613,37,340,1.2461,137030889193472
1779937778.0636399,35,323,1.1858,137030885670912
1779937778.6024377,37,333,1.1912,137030889193472
1779937779.1134124,35,337,1.2428,137030885670912
1779937779.6565452,37,329,1.1755,137030889193472
1779937780.1959505,35,330,1.2104,137030885670912
1779937780.7356474,37,334,1.2167,137030889193472
1779937781.2820797,36,333,1.2100,137030889193472
1779937781.8202004,36,328,1.1697,137030885670912
1779937782.3242788,36,335,1.2517,137030889193472
1779937782.8640544,36,327,1.1396,137030885670912
1779937783.4036832,36,333,1.2199,137030889193472
1779937783.9425104,36,331,1.1874,137030885670912
1779937784.4898887,37,334,1.1658,137030889193472
1779937785.0291424,35,329,1.2020,137030885670912
1779937785.5682714,37,332,1.2076,137030889193472
1779937786.1070457,35,327,1.2302,137030885670912
1779937786.6460984,37,330,1.1584,137030889193472
1779937787.1852021,35,333,1.2447,137030885670912
1779937787.7222471,37,329,1.1681,137030889193472
1779937788.261771,35,334,1.2184,137030885670912
1779937788.799632,37,379,1.2039,137030889193472
1779937789.3396997,36,332,1.2148,137030889193472
1779937789.8804417,36,327,1.1656,137030885670912
1779937790.4186645,36,335,1.2641,137030889193472
1779937790.958179,36,329,1.1525,137030885670912
1779937791.4969096,37,334,1.1971,137030889193472
1779937792.0361714,35,328,1.2242,137030885670912
1779937792.571915,37,334,1.1757,137030889193472
1779937793.1099246,35,334,1.2144,137030885670912
1779937793.6484709,37,335,1.2217,137030889193472
1779937794.1893659,35,328,1.2168,137030885670912
1779937794.7284954,37,332,1.1846,137030889193472
1779937795.268492,35,328,1.2228,137030885670912
1779937795.8086312,37,339,1.1966,137030889193472
1779937796.3483093,36,347,1.2588,137030889193472
1779937796.8868377,36,326,1.1784,137030885670912
1779937797.4249356,36,333,1.2008,137030889193472
1779937797.96344,36,327,1.1656,137030885670912
1779937798.501728,36,334,1.2467,137030889193472
1779937799.0405645,36,330,1.1697,137030885670912
1779937799.578483,37,331,1.1718,137030889193472
1779937800.1174703,35,330,1.2387,137030885670912
1779937800.6585882,37,337,1.1852,137030889193472
1779937801.1994026,35,386,1.3205,137030885670912
1779937801.7409568,37,514,1.5340,137030889193472
1779937802.2793214,35,330,1.2033,137030885670912
1779937802.817882,37,328,1.1585,137030889193472
1779937803.3470821,35,332,1.2600,137030885670912
1779937803.8843794,37,330,1.1770,137030889193472
1779937804.422177,36,328,1.2130,137030889193472
1779937804.9602344,36,329,1.1705,137030885670912
1779937805.5009823,36,332,1.2142,137030889193472
1779937806.0435576,36,329,1.1721,137030885670912
1779937806.5855782,37,337,1.2089,137030889193472
1779937807.1285627,35,329,1.2095,137030885670912
1779937807.669908,37,330,1.1814,137030889193472
1779937808.2120333,35,331,1.2325,137030885670912
1779937808.7537136,37,331,1.1551,137030889193472
1779937809.2960613,35,333,1.2155,137030885670912
1779937809.8364158,37,333,1.2166,137030889193472
1779937810.378774,35,330,1.2179,137030885670912
1779937810.8995452,37,332,1.1762,137030889193472
1779937811.4409218,35,334,1.2521,137030885670912
1779937811.9806943,37,332,1.1943,137030889193472
1779937812.5203323,36,343,1.2502,137030889193472
1779937813.061098,36,334,1.2125,137030885670912
1779937813.600981,36,327,1.1954,137030889193472
1779937814.1347725,36,338,1.1763,137030885670912
1779937814.6747186,37,375,1.2150,137030889193472
1779937815.2159,35,328,1.1868,137030885670912
1779937815.7558694,37,332,1.1785,137030889193472
1779937816.297662,35,333,1.2713,137030885670912
1779937816.831593,37,330,1.1711,137030889193472
1779937817.3767903,35,328,1.1948,137030885670912
1779937817.914343,37,334,1.2082,137030889193472
1779937818.4516838,35,331,1.2071,137030885670912
1779937818.9931948,37,334,1.1569,137030889193472
1779937819.49642,36,335,1.2437,137030889193472
1779937820.0178025,36,328,1.1673,137030885670912
1779937820.561961,36,332,1.2330,137030889193472
1779937821.1075537,36,333,1.2053,137030885670912
1779937821.6444476,36,328,1.1962,137030889193472
1779937822.1822546,36,342,1.1701,137030885670912
1779937822.7201056,37,333,1.2014,137030889193472
1779937823.2587178,35,331,1.2074,137030885670912
1779937823.7986007,37,331,1.1863,137030889193472
1779937824.3394923,35,329,1.2304,137030885670912
1779937824.8764064,37,331,1.1707,137030889193472
1779937825.415449,35,330,1.2021,137030885670912
1779937825.9520159,37,336,1.2177,137030889193472
1779937826.4916246,35,327,1.1935,137030885670912
1779937827.0266335,37,388,1.2733,137030889193472
1779937827.5619533,36,509,1.3502,137030889193472
1779937828.0969265,36,327,1.1595,137030885670912
1779937828.6344225,36,332,1.2153,137030889193472
1779937829.1714623,36,343,1.2397,137030885670912
1779937829.7064419,36,328,1.2074,137030889193472
1779937830.2317994,36,328,1.1664,137030885670912
1779937830.7692556,37,336,1.2095,137030889193472
1779937831.3061154,35,326,1.1953,137030885670912
1779937831.8409982,37,333,1.1966,137030889193472
1779937832.3762252,35,331,1.2242,137030885670912
1779937832.9092693,37,330,1.1788,137030889193472
1779937833.4430356,35,328,1.2111,137030885670912
1779937833.9753911,37,335,1.2181,137030889193472
1779937834.5079174,35,329,1.2070,137030885670912
1779937835.040143,37,331,1.1641,137030889193472
1779937835.5718803,35,330,1.2337,137030885670912
1779937836.1021976,37,335,1.1865,137030889193472
1779937836.6211123,35,327,1.2005,137030885670912
1779937837.1559398,37,337,1.2217,137030889193472
1779937837.6886725,36,335,1.2317,137030889193472
1779937838.2226696,36,332,1.1546,137030885670912
1779937838.7417736,36,338,1.2499,137030889193472
1779937839.2733715,36,333,1.1690,137030885670912
1779937839.8044841,36,336,1.2332,137030889193472
1779937840.3353295,36,380,1.2045,137030885670912
1779937840.8668482,37,331,1.1749,137030889193472
1779937841.3987155,35,329,1.1925,137030885670912
1779937841.9287348,37,342,1.2303,137030889193472
1779937842.4594848,35,329,1.1994,137030885670912
1779937842.9906893,37,329,1.1769,137030889193472
1779937843.5210645,35,327,1.1940,137030885670912
1779937844.0506394,37,332,1.2033,137030889193472
1779937844.5811222,35,329,1.1962,137030885670912
1779937845.1119,37,330,1.1914,137030889193472
1779937845.643508,35,330,1.2292,137030885670912
1779937846.1750367,37,344,1.2101,137030889193472
1779937846.7060277,36,328,1.2085,137030889193472
1779937847.2365327,36,331,1.1946,137030885670912
1779937847.7672417,36,346,1.3063,137030889193472
1779937848.2974765,36,329,1.1696,137030885670912
1779937848.827762,38,352,1.1840,137030889193472
1779937849.3583496,38,344,1.1737,137030885670912
1779937849.8894215,37,330,1.1756,137030889193472
1779937850.4203763,35,332,1.2680,137030885670912
1779937850.949677,37,328,1.1720,137030889193472
1779937851.482724,35,327,1.2054,137030885670912
1779937852.014963,37,339,1.2294,137030889193472
1779937852.5441964,35,331,1.2263,137030885670912
1779937853.0744371,37,511,1.3846,137030889193472
1779937853.6189473,35,375,1.2274,137030885670912
1779937854.1497645,37,330,1.1695,137030889193472
1779937854.6792276,35,325,1.1928,137030885670912
1779937855.2075372,37,336,1.2057,137030889193472
1779937855.7236881,35,328,1.2000,137030885670912
1779937856.252373,37,335,1.1892,137030889193472
1779937856.7814085,36,324,1.2049,137030889193472
1779937857.3114405,36,329,1.1683,137030885670912
1779937857.8415544,36,336,1.2390,137030889193472
1779937858.3710518,36,330,1.1979,137030885670912
1779937858.900025,36,329,1.2049,137030889193472
1779937859.4291213,36,332,1.1762,137030885670912
1779937859.9577677,37,335,1.2058,137030889193472
1779937860.4894361,35,327,1.1853,137030885670912
1779937861.0183368,37,567,1.1101,137030889193472
1779937861.5469022,35,562,1.3399,137030885670912
1779937862.076214,37,337,1.1773,137030889193472
1779937862.6051311,35,325,1.1950,137030885670912
1779937863.146725,37,343,1.2231,137030889193472
1779937863.6815603,35,330,1.2308,137030885670912
1779937864.2128303,37,334,1.1846,137030889193472
