ts,n_active,page_id_mean,page_id_std,page_id_max,region_low,region_midlow,region_midhigh,region_high,change_volume_sum,change_volume_mean,change_volume_max,entropy_changed_mean,entropy_changed_max,entropy_full_mean,entropy_full_std,warmup_start_ts,controller_attached_ts,test_phase_start_ts,action_ts,max_page
1784150773.082865,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,9.0,1.577088705904551,2.321928094887362,3.542247958392352,1.1778700488308036,1784150766,1784151066,1784151186,1784151474.716998,32
1784150773.0862937,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,9.0,1.577088705904551,2.321928094887362,3.542247958392352,1.1778700488308036,1784150766,1784151066,1784151186,1784151474.716998,32
1784150773.089244,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,9.0,1.577088705904551,2.321928094887362,3.542247958392352,1.1778700488308036,1784150766,1784151066,1784151186,1784151474.716998,32
1784150773.0922,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,9.0,1.577088705904551,2.321928094887362,3.542247958392352,1.1778700488308036,1784150766,1784151066,1784151186,1784151474.716998,32
1784150773.1142206,32,16.375,9.426525075551435,32.0,7,8,8,9,48021.0,1500.65625,3758.0,5.508858823341498,6.36058737599102,2.900360514682493,0.9683022567574044,1784150766,1784151066,1784151186,1784151474.716998,32
1784150774.119807,5,14.4,8.593020423576334,27.0,1,2,1,1,25.0,5.0,9.0,2.132355619554397,3.169925001442312,3.5278073085378905,1.0182216543395946,1784150766,1784151066,1784151186,1784151474.716998,32
1784150774.124993,5,14.4,8.593020423576334,27.0,1,2,1,1,25.0,5.0,9.0,2.132355619554397,3.169925001442312,3.5278073085378905,1.0182216543395946,1784150766,1784151066,1784151186,1784151474.716998,32
1784150774.128956,5,14.4,8.593020423576334,27.0,1,2,1,1,25.0,5.0,9.0,2.132355619554397,3.169925001442312,3.5278073085378905,1.0182216543395946,1784150766,1784151066,1784151186,1784151474.716998,32
1784150774.1328387,5,14.4,8.593020423576334,27.0,1,2,1,1,25.0,5.0,9.0,2.132355619554397,3.169925001442312,3.5278073085378905,1.0182216543395946,1784150766,1784151066,1784151186,1784151474.716998,32
1784150774.1528423,32,16.375,9.426525075551435,32.0,7,8,8,9,48017.0,1500.53125,3758.0,5.508985052857831,6.36089111037561,2.9002397193257687,0.967908697343574,1784150766,1784151066,1784151186,1784151474.716998,32
1784150775.161905,5,14.4,8.593020423576334,27.0,1,2,1,1,29.0,5.8,11.0,2.1902569429933942,3.4594316186372978,3.5285060939870276,1.0189133909132724,1784150766,1784151066,1784151186,1784151474.716998,32
1784150775.1687765,5,14.4,8.593020423576334,27.0,1,2,1,1,29.0,5.8,11.0,2.1902569429933942,3.4594316186372978,3.5285060939870276,1.0189133909132724,1784150766,1784151066,1784151186,1784151474.716998,32
1784150775.1723783,5,14.4,8.593020423576334,27.0,1,2,1,1,29.0,5.8,11.0,2.1902569429933942,3.4594316186372978,3.5285060939870276,1.0189133909132724,1784150766,1784151066,1784151186,1784151474.716998,32
1784150775.176133,5,14.4,8.593020423576334,27.0,1,2,1,1,29.0,5.8,11.0,2.1902569429933942,3.4594316186372978,3.5285060939870276,1.0189133909132724,1784150766,1784151066,1784151186,1784151474.716998,32
1784150775.1958728,32,16.375,9.426525075551435,32.0,7,8,8,9,48017.0,1500.53125,3758.0,5.509189016772523,6.366218390840665,2.9003489045521964,0.9680757217196865,1784150766,1784151066,1784151186,1784151474.716998,32
1784150776.2050214,5,14.4,8.593020423576334,27.0,1,2,1,1,64.0,12.8,44.0,1.8348949414700357,2.866119883731975,3.5287551021362282,1.021658362795263,1784150766,1784151066,1784151186,1784151474.716998,32
1784150776.2118378,5,14.4,8.593020423576334,27.0,1,2,1,1,64.0,12.8,44.0,1.8348949414700357,2.866119883731975,3.5287551021362282,1.021658362795263,1784150766,1784151066,1784151186,1784151474.716998,32
1784150776.2159,5,14.4,8.593020423576334,27.0,1,2,1,1,64.0,12.8,44.0,1.8348949414700357,2.866119883731975,3.5287551021362282,1.021658362795263,1784150766,1784151066,1784151186,1784151474.716998,32
1784150776.2195797,5,14.4,8.593020423576334,27.0,1,2,1,1,64.0,12.8,44.0,1.8348949414700357,2.866119883731975,3.5287551021362282,1.021658362795263,1784150766,1784151066,1784151186,1784151474.716998,32
1784150776.2386544,32,16.375,9.426525075551435,32.0,7,8,8,9,48012.0,1500.375,3758.0,5.509780937075011,6.363871802321419,2.900387812075509,0.9684749961799707,1784150766,1784151066,1784151186,1784151474.716998,32
1784150777.2483394,5,14.4,8.593020423576334,27.0,1,2,1,1,490.0,98.0,446.0,3.5738499642247397,5.015871612319819,3.5265895486308736,1.0158175290103977,1784150766,1784151066,1784151186,1784151474.716998,32
1784150777.256134,5,14.4,8.593020423576334,27.0,1,2,1,1,490.0,98.0,446.0,3.5738499642247397,5.015871612319819,3.5265895486308736,1.0158175290103977,1784150766,1784151066,1784151186,1784151474.716998,32
1784150777.260884,5,14.4,8.593020423576334,27.0,1,2,1,1,490.0,98.0,446.0,3.5738499642247397,5.015871612319819,3.5265895486308736,1.0158175290103977,1784150766,1784151066,1784151186,1784151474.716998,32
1784150777.2646852,5,14.4,8.593020423576334,27.0,1,2,1,1,490.0,98.0,446.0,3.5738499642247397,5.015871612319819,3.5265895486308736,1.0158175290103977,1784150766,1784151066,1784151186,1784151474.716998,32
1784150777.2838275,32,16.375,9.426525075551435,32.0,7,8,8,9,48017.0,1500.53125,3758.0,5.508860349799559,6.363227193517117,2.900049444340297,0.9674553967774321,1784150766,1784151066,1784151186,1784151474.716998,32
1784150778.295063,5,14.4,8.593020423576334,27.0,1,2,1,1,68.0,13.6,46.0,1.9002816766287307,3.0,3.5271488167826854,1.020217673643447,1784150766,1784151066,1784151186,1784151474.716998,32
1784150778.3485065,32,16.375,9.426525075551435,32.0,7,8,8,9,48011.0,1500.34375,3758.0,5.509500871203242,6.367078409070039,2.900136829989018,0.968111048076675,1784150766,1784151066,1784151186,1784151474.716998,32
1784150779.392311,32,16.375,9.426525075551435,32.0,7,8,8,9,48021.0,1500.65625,3758.0,5.509445226872051,6.367656979983567,2.90053572074562,0.9679451466819853,1784150766,1784151066,1784151186,1784151474.716998,32
1784150780.4357028,32,16.375,9.426525075551435,32.0,7,8,8,9,48022.0,1500.6875,3758.0,5.509221307397642,6.3576913611283095,2.900499834648198,0.96789960356259,1784150766,1784151066,1784151186,1784151474.716998,32
1784150781.4803836,32,16.375,9.426525075551435,32.0,7,8,8,9,48025.0,1500.78125,3758.0,5.50909809736828,6.362249431720215,2.9005607346997695,0.967869040704109,1784150766,1784151066,1784151186,1784151474.716998,32
1784150782.5237248,32,16.375,9.426525075551435,32.0,7,8,8,9,48017.0,1500.53125,3758.0,5.509200354305543,6.361002290173755,2.9002527753850247,0.967703122176037,1784150766,1784151066,1784151186,1784151474.716998,32
