ts,n_active,page_id_mean,page_id_std,page_id_max,region_low,region_midlow,region_midhigh,region_high,change_volume_sum,change_volume_mean,change_volume_max,entropy_changed_mean,entropy_changed_max,entropy_full_mean,entropy_full_std,warmup_start_ts,controller_attached_ts,test_phase_start_ts,action_ts,max_page
1784132833.0230207,32,16.375,9.426525075551435,32.0,7,8,8,9,48021.0,1500.65625,3751.0,5.570602418763393,6.411696964387931,2.922835085168787,0.9699125396738492,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132834.0620935,32,16.375,9.426525075551435,32.0,7,8,8,9,48014.0,1500.4375,3751.0,5.570498365036057,6.409775728057818,2.9224438298161246,0.9699550263699718,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132835.0724378,4,14.5,9.604686356149273,27.0,1,1,1,1,506.0,126.5,445.0,3.2495135010520433,5.051940493014722,3.612592318133406,1.1243666452822165,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132835.079738,4,14.5,9.604686356149273,27.0,1,1,1,1,506.0,126.5,445.0,3.2495135010520433,5.051940493014722,3.612592318133406,1.1243666452822165,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132835.0835888,4,14.5,9.604686356149273,27.0,1,1,1,1,506.0,126.5,445.0,3.2495135010520433,5.051940493014722,3.612592318133406,1.1243666452822165,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132835.0872362,4,14.5,9.604686356149273,27.0,1,1,1,1,506.0,126.5,445.0,3.2495135010520433,5.051940493014722,3.612592318133406,1.1243666452822165,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132835.105806,32,16.375,9.426525075551435,32.0,7,8,8,9,48016.0,1500.5,3751.0,5.570811182857872,6.408784850942894,2.922615951323918,0.9688558399538392,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132836.1479926,32,16.375,9.426525075551435,32.0,7,8,8,9,48016.0,1500.5,3751.0,5.570513602867963,6.405128017917903,2.922443854526719,0.9685845982639806,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132837.1903348,32,16.375,9.426525075551435,32.0,7,8,8,9,48016.0,1500.5,3751.0,5.570437125557157,6.403363630012061,2.922428765669093,0.968625435894177,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132838.2090297,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,9.0,2.0081663199853113,2.94770277922009,3.5618382517479423,1.1389518607871807,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132838.2127795,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,9.0,2.0081663199853113,2.94770277922009,3.5618382517479423,1.1389518607871807,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132838.2164464,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,9.0,2.0081663199853113,2.94770277922009,3.5618382517479423,1.1389518607871807,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132838.2364726,32,16.375,9.426525075551435,32.0,7,8,8,9,48015.0,1500.46875,3751.0,5.571168663219809,6.407793534459422,2.9227015732753547,0.9688813665428553,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132839.2451084,4,11.25,6.53356717268599,16.0,1,2,1,0,19.0,4.75,9.0,1.3733293310848402,1.9219280948873625,3.558737105175563,1.1428445277507422,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132839.2513506,4,11.25,6.53356717268599,16.0,1,2,1,0,19.0,4.75,9.0,1.3733293310848402,1.9219280948873625,3.558737105175563,1.1428445277507422,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132839.255,4,11.25,6.53356717268599,16.0,1,2,1,0,19.0,4.75,9.0,1.3733293310848402,1.9219280948873625,3.558737105175563,1.1428445277507422,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132839.258792,4,11.25,6.53356717268599,16.0,1,2,1,0,19.0,4.75,9.0,1.3733293310848402,1.9219280948873625,3.558737105175563,1.1428445277507422,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132839.2778337,32,16.375,9.426525075551435,32.0,7,8,8,9,48008.0,1500.25,3751.0,5.57096552191109,6.405260104436016,2.9223139299538072,0.9690615381011769,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132840.2869172,4,11.25,6.53356717268599,16.0,1,2,1,0,29.0,7.25,9.0,2.7116851496232854,3.169925001442312,3.5625980044784122,1.1400383224766673,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132840.293074,4,11.25,6.53356717268599,16.0,1,2,1,0,29.0,7.25,9.0,2.7116851496232854,3.169925001442312,3.5625980044784122,1.1400383224766673,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132840.2969007,4,11.25,6.53356717268599,16.0,1,2,1,0,29.0,7.25,9.0,2.7116851496232854,3.169925001442312,3.5625980044784122,1.1400383224766673,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132840.300684,4,11.25,6.53356717268599,16.0,1,2,1,0,29.0,7.25,9.0,2.7116851496232854,3.169925001442312,3.5625980044784122,1.1400383224766673,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132840.320628,32,16.375,9.426525075551435,32.0,7,8,8,9,48028.0,1500.875,3751.0,5.572276933141034,6.406206626886985,2.923837114083015,0.9696668807460757,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132841.3298628,5,14.4,8.593020423576334,27.0,1,2,1,1,30.0,6.0,11.0,1.8341861522316953,3.277613436819116,3.54066257990664,0.991967751113623,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132841.3363268,5,14.4,8.593020423576334,27.0,1,2,1,1,30.0,6.0,11.0,1.8341861522316953,3.277613436819116,3.54066257990664,0.991967751113623,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132841.3399558,5,14.4,8.593020423576334,27.0,1,2,1,1,30.0,6.0,11.0,1.8341861522316953,3.277613436819116,3.54066257990664,0.991967751113623,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132841.3435397,5,14.4,8.593020423576334,27.0,1,2,1,1,30.0,6.0,11.0,1.8341861522316953,3.277613436819116,3.54066257990664,0.991967751113623,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132841.3626187,32,16.375,9.426525075551435,32.0,7,8,8,9,48024.0,1500.75,3751.0,5.571012447515264,6.406276725207523,2.923133452370188,0.9697161960431094,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132842.3712754,5,14.4,8.593020423576334,27.0,1,2,1,1,27.0,5.4,11.0,2.1902569429933942,3.4594316186372978,3.542828970418147,0.9881811676071037,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132842.3775437,5,14.4,8.593020423576334,27.0,1,2,1,1,27.0,5.4,11.0,2.1902569429933942,3.4594316186372978,3.542828970418147,0.9881811676071037,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132842.381049,5,14.4,8.593020423576334,27.0,1,2,1,1,27.0,5.4,11.0,2.1902569429933942,3.4594316186372978,3.542828970418147,0.9881811676071037,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132842.3849766,5,14.4,8.593020423576334,27.0,1,2,1,1,27.0,5.4,11.0,2.1902569429933942,3.4594316186372978,3.542828970418147,0.9881811676071037,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132842.4047866,32,16.375,9.426525075551435,32.0,7,8,8,9,48031.0,1500.96875,3751.0,5.571129443089651,6.403238033895658,2.923471950887611,0.969440151408278,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132843.41392,5,14.4,8.593020423576334,27.0,1,2,1,1,66.0,13.2,44.0,2.4117060340073806,3.169925001442312,3.5478766696414623,0.98800338482646,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132843.4204023,5,14.4,8.593020423576334,27.0,1,2,1,1,66.0,13.2,44.0,2.4117060340073806,3.169925001442312,3.5478766696414623,0.98800338482646,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132843.4249065,5,14.4,8.593020423576334,27.0,1,2,1,1,66.0,13.2,44.0,2.4117060340073806,3.169925001442312,3.5478766696414623,0.98800338482646,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132843.4524558,32,16.375,9.426525075551435,32.0,7,8,8,9,48034.0,1501.0625,3751.0,5.572595369072388,6.405994752956168,2.924260653891254,0.9699385724783647,1784132825,1784133125,1784133245,1784133530.3365548,32
1784132844.4949644,32,16.375,9.426525075551435,32.0,7,8,8,9,48039.0,1501.21875,3751.0,5.572350868491829,6.411681805106051,2.924368540116731,0.9699923421769818,1784132825,1784133125,1784133245,1784133530.3365548,32
