ts,n_active,page_id_mean,page_id_std,page_id_max,region_low,region_midlow,region_midhigh,region_high,change_volume_sum,change_volume_mean,change_volume_max,entropy_changed_mean,entropy_changed_max,entropy_full_mean,entropy_full_std,warmup_start_ts,controller_attached_ts,test_phase_start_ts,action_ts,max_page
1784146616.9270182,4,11.25,6.53356717268599,16.0,1,2,1,0,17.0,4.25,6.0,2.0192038992627075,2.584962500721156,3.5829167647386964,1.145366559015225,1784146610,1784146910,1784147030,1784147322.904526,32
1784146616.9322016,4,11.25,6.53356717268599,16.0,1,2,1,0,17.0,4.25,6.0,2.0192038992627075,2.584962500721156,3.5829167647386964,1.145366559015225,1784146610,1784146910,1784147030,1784147322.904526,32
1784146616.93715,4,11.25,6.53356717268599,16.0,1,2,1,0,17.0,4.25,6.0,2.0192038992627075,2.584962500721156,3.5829167647386964,1.145366559015225,1784146610,1784146910,1784147030,1784147322.904526,32
1784146616.9444194,4,11.25,6.53356717268599,16.0,1,2,1,0,17.0,4.25,6.0,2.0192038992627075,2.584962500721156,3.5829167647386964,1.145366559015225,1784146610,1784146910,1784147030,1784147322.904526,32
1784146616.9519484,4,11.25,6.53356717268599,16.0,1,2,1,0,17.0,4.25,6.0,2.0192038992627075,2.584962500721156,3.5829167647386964,1.145366559015225,1784146610,1784146910,1784147030,1784147322.904526,32
1784146616.9582138,4,11.25,6.53356717268599,16.0,1,2,1,0,17.0,4.25,6.0,2.0192038992627075,2.584962500721156,3.5829167647386964,1.145366559015225,1784146610,1784146910,1784147030,1784147322.904526,32
1784146616.9637604,4,11.25,6.53356717268599,16.0,1,2,1,0,17.0,4.25,6.0,2.0192038992627075,2.584962500721156,3.5829167647386964,1.145366559015225,1784146610,1784146910,1784147030,1784147322.904526,32
1784146616.9699006,4,11.25,6.53356717268599,16.0,1,2,1,0,17.0,4.25,6.0,2.0192038992627075,2.584962500721156,3.5829167647386964,1.145366559015225,1784146610,1784146910,1784147030,1784147322.904526,32
1784146616.9763167,4,11.25,6.53356717268599,16.0,1,2,1,0,17.0,4.25,6.0,2.0192038992627075,2.584962500721156,3.5829167647386964,1.145366559015225,1784146610,1784146910,1784147030,1784147322.904526,32
1784146616.9813151,4,11.25,6.53356717268599,16.0,1,2,1,0,17.0,4.25,6.0,2.0192038992627075,2.584962500721156,3.5829167647386964,1.145366559015225,1784146610,1784146910,1784147030,1784147322.904526,32
1784146616.9871774,4,11.25,6.53356717268599,16.0,1,2,1,0,17.0,4.25,6.0,2.0192038992627075,2.584962500721156,3.5829167647386964,1.145366559015225,1784146610,1784146910,1784147030,1784147322.904526,32
1784146616.99256,4,11.25,6.53356717268599,16.0,1,2,1,0,17.0,4.25,6.0,2.0192038992627075,2.584962500721156,3.5829167647386964,1.145366559015225,1784146610,1784146910,1784147030,1784147322.904526,32
1784146616.9976609,4,11.25,6.53356717268599,16.0,1,2,1,0,17.0,4.25,6.0,2.0192038992627075,2.584962500721156,3.5829167647386964,1.145366559015225,1784146610,1784146910,1784147030,1784147322.904526,32
1784146617.00333,4,11.25,6.53356717268599,16.0,1,2,1,0,17.0,4.25,6.0,2.0192038992627075,2.584962500721156,3.5829167647386964,1.145366559015225,1784146610,1784146910,1784147030,1784147322.904526,32
