ts,n_active,page_id_mean,page_id_std,page_id_max,region_low,region_midlow,region_midhigh,region_high,change_volume_sum,change_volume_mean,change_volume_max,entropy_changed_mean,entropy_changed_max,entropy_full_mean,entropy_full_std,warmup_start_ts,controller_attached_ts,test_phase_start_ts,action_ts,max_page
1784084645.8749044,5,10.8,5.912698199637792,16.0,1,3,1,0,33.0,6.6,18.0,2.109473750504809,3.377443751081734,3.4682169578056787,1.0284747952903277,1784084639,1784084939,1784085059,,32
1784084645.8801892,5,10.8,5.912698199637792,16.0,1,3,1,0,33.0,6.6,18.0,2.109473750504809,3.377443751081734,3.4682169578056787,1.0284747952903277,1784084639,1784084939,1784085059,,32
1784084645.8847258,5,10.8,5.912698199637792,16.0,1,3,1,0,33.0,6.6,18.0,2.109473750504809,3.377443751081734,3.4682169578056787,1.0284747952903277,1784084639,1784084939,1784085059,,32
1784084645.8891344,5,10.8,5.912698199637792,16.0,1,3,1,0,33.0,6.6,18.0,2.109473750504809,3.377443751081734,3.4682169578056787,1.0284747952903277,1784084639,1784084939,1784085059,,32
1784084645.8934972,5,10.8,5.912698199637792,16.0,1,3,1,0,33.0,6.6,18.0,2.109473750504809,3.377443751081734,3.4682169578056787,1.0284747952903277,1784084639,1784084939,1784085059,,32
1784084645.8980908,5,10.8,5.912698199637792,16.0,1,3,1,0,33.0,6.6,18.0,2.109473750504809,3.377443751081734,3.4682169578056787,1.0284747952903277,1784084639,1784084939,1784085059,,32
1784084645.90211,5,10.8,5.912698199637792,16.0,1,3,1,0,33.0,6.6,18.0,2.109473750504809,3.377443751081734,3.4682169578056787,1.0284747952903277,1784084639,1784084939,1784085059,,32
1784084645.9062989,5,10.8,5.912698199637792,16.0,1,3,1,0,33.0,6.6,18.0,2.109473750504809,3.377443751081734,3.4682169578056787,1.0284747952903277,1784084639,1784084939,1784085059,,32
1784084645.9104798,5,10.8,5.912698199637792,16.0,1,3,1,0,33.0,6.6,18.0,2.109473750504809,3.377443751081734,3.4682169578056787,1.0284747952903277,1784084639,1784084939,1784085059,,32
1784084645.9146638,5,10.8,5.912698199637792,16.0,1,3,1,0,33.0,6.6,18.0,2.109473750504809,3.377443751081734,3.4682169578056787,1.0284747952903277,1784084639,1784084939,1784085059,,32
1784084645.918851,5,10.8,5.912698199637792,16.0,1,3,1,0,33.0,6.6,18.0,2.109473750504809,3.377443751081734,3.4682169578056787,1.0284747952903277,1784084639,1784084939,1784085059,,32
1784084645.9226654,5,10.8,5.912698199637792,16.0,1,3,1,0,33.0,6.6,18.0,2.109473750504809,3.377443751081734,3.4682169578056787,1.0284747952903277,1784084639,1784084939,1784085059,,32
1784084645.9264765,5,10.8,5.912698199637792,16.0,1,3,1,0,33.0,6.6,18.0,2.109473750504809,3.377443751081734,3.4682169578056787,1.0284747952903277,1784084639,1784084939,1784085059,,32
1784084645.9304683,5,10.8,5.912698199637792,16.0,1,3,1,0,33.0,6.6,18.0,2.109473750504809,3.377443751081734,3.4682169578056787,1.0284747952903277,1784084639,1784084939,1784085059,,32
