ts,n_active,page_id_mean,page_id_std,page_id_max,region_low,region_midlow,region_midhigh,region_high,change_volume_sum,change_volume_mean,change_volume_max,entropy_changed_mean,entropy_changed_max,entropy_full_mean,entropy_full_std,warmup_start_ts,controller_attached_ts,test_phase_start_ts,action_ts,max_page
1784096564.0224953,5,14.4,8.593020423576334,27.0,1,2,1,1,33.0,6.6,17.0,1.9436699984075507,2.584962500721156,3.5572701532973334,1.021604074356923,1784096557,1784096857,1784096977,,32
1784096564.02757,5,14.4,8.593020423576334,27.0,1,2,1,1,33.0,6.6,17.0,1.9436699984075507,2.584962500721156,3.5572701532973334,1.021604074356923,1784096557,1784096857,1784096977,,32
1784096564.0321648,5,14.4,8.593020423576334,27.0,1,2,1,1,33.0,6.6,17.0,1.9436699984075507,2.584962500721156,3.5572701532973334,1.021604074356923,1784096557,1784096857,1784096977,,32
1784096564.0368145,5,14.4,8.593020423576334,27.0,1,2,1,1,33.0,6.6,17.0,1.9436699984075507,2.584962500721156,3.5572701532973334,1.021604074356923,1784096557,1784096857,1784096977,,32
1784096564.041485,5,14.4,8.593020423576334,27.0,1,2,1,1,33.0,6.6,17.0,1.9436699984075507,2.584962500721156,3.5572701532973334,1.021604074356923,1784096557,1784096857,1784096977,,32
1784096564.045791,5,14.4,8.593020423576334,27.0,1,2,1,1,33.0,6.6,17.0,1.9436699984075507,2.584962500721156,3.5572701532973334,1.021604074356923,1784096557,1784096857,1784096977,,32
1784096564.0501554,5,14.4,8.593020423576334,27.0,1,2,1,1,33.0,6.6,17.0,1.9436699984075507,2.584962500721156,3.5572701532973334,1.021604074356923,1784096557,1784096857,1784096977,,32
1784096564.0545058,5,14.4,8.593020423576334,27.0,1,2,1,1,33.0,6.6,17.0,1.9436699984075507,2.584962500721156,3.5572701532973334,1.021604074356923,1784096557,1784096857,1784096977,,32
1784096564.0588772,5,14.4,8.593020423576334,27.0,1,2,1,1,33.0,6.6,17.0,1.9436699984075507,2.584962500721156,3.5572701532973334,1.021604074356923,1784096557,1784096857,1784096977,,32
1784096564.0635,5,14.4,8.593020423576334,27.0,1,2,1,1,33.0,6.6,17.0,1.9436699984075507,2.584962500721156,3.5572701532973334,1.021604074356923,1784096557,1784096857,1784096977,,32
1784096564.0679605,5,14.4,8.593020423576334,27.0,1,2,1,1,33.0,6.6,17.0,1.9436699984075507,2.584962500721156,3.5572701532973334,1.021604074356923,1784096557,1784096857,1784096977,,32
1784096564.0721114,5,14.4,8.593020423576334,27.0,1,2,1,1,33.0,6.6,17.0,1.9436699984075507,2.584962500721156,3.5572701532973334,1.021604074356923,1784096557,1784096857,1784096977,,32
1784096564.0759816,5,14.4,8.593020423576334,27.0,1,2,1,1,33.0,6.6,17.0,1.9436699984075507,2.584962500721156,3.5572701532973334,1.021604074356923,1784096557,1784096857,1784096977,,32
1784096564.0800312,5,14.4,8.593020423576334,27.0,1,2,1,1,33.0,6.6,17.0,1.9436699984075507,2.584962500721156,3.5572701532973334,1.021604074356923,1784096557,1784096857,1784096977,,32
1784096564.0840442,5,14.4,8.593020423576334,27.0,1,2,1,1,33.0,6.6,17.0,1.9436699984075507,2.584962500721156,3.5572701532973334,1.021604074356923,1784096557,1784096857,1784096977,,32
1784096564.087899,5,14.4,8.593020423576334,27.0,1,2,1,1,33.0,6.6,17.0,1.9436699984075507,2.584962500721156,3.5572701532973334,1.021604074356923,1784096557,1784096857,1784096977,,32
1784096564.174404,32,16.375,9.426525075551435,32.0,7,8,8,9,47994.0,1499.8125,3757.0,5.639475303534271,6.472215102416185,2.950780579989498,0.981906193804877,1784096557,1784096857,1784096977,,32
1784096565.2137203,32,16.375,9.426525075551435,32.0,7,8,8,9,47993.0,1499.78125,3757.0,5.6396165627507715,6.472542702473191,2.9507629542304,0.981800722063457,1784096557,1784096857,1784096977,,32
1784096566.223783,6,13.5,8.098353742170895,27.0,1,3,1,1,572.0,95.33333333333333,454.0,3.1432678579123077,5.025997125222379,3.4822840483926067,0.9277731199655225,1784096557,1784096857,1784096977,,32
1784096566.2326572,6,13.5,8.098353742170895,27.0,1,3,1,1,572.0,95.33333333333333,454.0,3.1432678579123077,5.025997125222379,3.4822840483926067,0.9277731199655225,1784096557,1784096857,1784096977,,32
1784096566.2389412,6,13.5,8.098353742170895,27.0,1,3,1,1,572.0,95.33333333333333,454.0,3.1432678579123077,5.025997125222379,3.4822840483926067,0.9277731199655225,1784096557,1784096857,1784096977,,32
1784096566.2428834,6,13.5,8.098353742170895,27.0,1,3,1,1,572.0,95.33333333333333,454.0,3.1432678579123077,5.025997125222379,3.4822840483926067,0.9277731199655225,1784096557,1784096857,1784096977,,32
1784096566.2619877,32,16.375,9.426525075551435,32.0,7,8,8,9,47985.0,1499.53125,3757.0,5.639153390629161,6.469341024167459,2.9501810130647126,0.9811509550995487,1784096557,1784096857,1784096977,,32
1784096567.270844,4,11.25,6.53356717268599,16.0,1,2,1,0,18.0,4.5,8.0,1.5578007814753612,2.0,3.569412845241259,1.1748139098848307,1784096557,1784096857,1784096977,,32
1784096567.276619,4,11.25,6.53356717268599,16.0,1,2,1,0,18.0,4.5,8.0,1.5578007814753612,2.0,3.569412845241259,1.1748139098848307,1784096557,1784096857,1784096977,,32
1784096567.2804132,4,11.25,6.53356717268599,16.0,1,2,1,0,18.0,4.5,8.0,1.5578007814753612,2.0,3.569412845241259,1.1748139098848307,1784096557,1784096857,1784096977,,32
1784096567.284127,4,11.25,6.53356717268599,16.0,1,2,1,0,18.0,4.5,8.0,1.5578007814753612,2.0,3.569412845241259,1.1748139098848307,1784096557,1784096857,1784096977,,32
1784096567.3032055,32,16.375,9.426525075551435,32.0,7,8,8,9,47983.0,1499.46875,3757.0,5.640066002018129,6.465881498139881,2.950460370388745,0.9815986942020842,1784096557,1784096857,1784096977,,32
1784096567.3328524,32,16.375,9.426525075551435,32.0,7,8,8,9,47983.0,1499.46875,3757.0,5.640066002018129,6.465881498139881,2.950460370388745,0.9815986942020842,1784096557,1784096857,1784096977,,32
1784096568.3776283,32,16.375,9.426525075551435,32.0,7,8,8,9,47990.0,1499.6875,3757.0,5.640157134664433,6.46693306227395,2.950830341004205,0.9814632811579292,1784096557,1784096857,1784096977,,32
1784096569.4173107,32,16.375,9.426525075551435,32.0,7,8,8,9,47985.0,1499.53125,3757.0,5.639235817415814,6.470247818096373,2.950122381923743,0.9808902536374987,1784096557,1784096857,1784096977,,32
1784096570.460232,32,16.375,9.426525075551435,32.0,7,8,8,9,47995.0,1499.84375,3757.0,5.64003924305838,6.472727939583001,2.9509327153636464,0.981290192318511,1784096557,1784096857,1784096977,,32
1784096571.5150442,32,16.375,9.426525075551435,32.0,7,8,8,9,48019.0,1500.59375,3757.0,5.639779128129941,6.471640175288451,2.951719701443296,0.9806077151544828,1784096557,1784096857,1784096977,,32
1784096571.5390005,32,16.375,9.426525075551435,32.0,7,8,8,9,48019.0,1500.59375,3757.0,5.639779128129941,6.471640175288451,2.951719701443296,0.9806077151544828,1784096557,1784096857,1784096977,,32
1784096572.579329,32,16.375,9.426525075551435,32.0,7,8,8,9,48016.0,1500.5,3757.0,5.638574769934163,6.47328684902477,2.9511189637292325,0.9806861230758424,1784096557,1784096857,1784096977,,32
1784096573.621456,32,16.375,9.426525075551435,32.0,7,8,8,9,48025.0,1500.78125,3757.0,5.638994109345978,6.470877073881118,2.9517762636427056,0.9808620073329806,1784096557,1784096857,1784096977,,32
1784096574.6300428,2,14.5,0.5,15.0,0,2,0,0,3.0,1.5,2.0,0.5,1.0,3.3245773660906393,0.04221477796301958,1784096557,1784096857,1784096977,,32
1784096574.6361575,2,14.5,0.5,15.0,0,2,0,0,3.0,1.5,2.0,0.5,1.0,3.3245773660906393,0.04221477796301958,1784096557,1784096857,1784096977,,32
1784096574.6397383,2,14.5,0.5,15.0,0,2,0,0,3.0,1.5,2.0,0.5,1.0,3.3245773660906393,0.04221477796301958,1784096557,1784096857,1784096977,,32
1784096574.64345,2,14.5,0.5,15.0,0,2,0,0,3.0,1.5,2.0,0.5,1.0,3.3245773660906393,0.04221477796301958,1784096557,1784096857,1784096977,,32
1784096574.6624174,32,16.375,9.426525075551435,32.0,7,8,8,9,48008.0,1500.25,3757.0,5.638527146064231,6.465728808612892,2.9507861577544796,0.9802727301992504,1784096557,1784096857,1784096977,,32
1784096575.7032816,32,16.375,9.426525075551435,32.0,7,8,8,9,48017.0,1500.53125,3757.0,5.639421758501538,6.468804218912356,2.951576644833664,0.9804833166426532,1784096557,1784096857,1784096977,,32
1784096576.744046,32,16.375,9.426525075551435,32.0,7,8,8,9,48024.0,1500.75,3757.0,5.640461438348877,6.472173337026586,2.952398386638693,0.9806374210412092,1784096557,1784096857,1784096977,,32
1784096576.7685544,32,16.375,9.426525075551435,32.0,7,8,8,9,48023.0,1500.71875,3757.0,5.640779214335985,6.470158204098167,2.9524683058035226,0.9806547708357969,1784096557,1784096857,1784096977,,32
1784096577.7776396,5,10.8,5.912698199637792,16.0,1,3,1,0,34.0,6.8,10.0,2.532355619554397,3.321928094887362,3.491207113724934,1.0213425991258505,1784096557,1784096857,1784096977,,32
1784096577.7843938,5,10.8,5.912698199637792,16.0,1,3,1,0,34.0,6.8,10.0,2.532355619554397,3.321928094887362,3.491207113724934,1.0213425991258505,1784096557,1784096857,1784096977,,32
1784096577.7880998,5,10.8,5.912698199637792,16.0,1,3,1,0,34.0,6.8,10.0,2.532355619554397,3.321928094887362,3.491207113724934,1.0213425991258505,1784096557,1784096857,1784096977,,32
