ts,n_active,page_id_mean,page_id_std,page_id_max,region_low,region_midlow,region_midhigh,region_high,change_volume_sum,change_volume_mean,change_volume_max,entropy_changed_mean,entropy_changed_max,entropy_full_mean,entropy_full_std,warmup_start_ts,controller_attached_ts,test_phase_start_ts,action_ts,max_page,action2_ts
1784178277.674364,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,8.0,2.188721875540867,3.0,3.5709240340134247,1.1588567893746442,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
1784178277.6796265,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,8.0,2.188721875540867,3.0,3.5709240340134247,1.1588567893746442,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
1784178277.6841812,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,8.0,2.188721875540867,3.0,3.5709240340134247,1.1588567893746442,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
1784178277.68865,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,8.0,2.188721875540867,3.0,3.5709240340134247,1.1588567893746442,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
1784178277.6929572,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,8.0,2.188721875540867,3.0,3.5709240340134247,1.1588567893746442,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
1784178277.6972952,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,8.0,2.188721875540867,3.0,3.5709240340134247,1.1588567893746442,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
1784178277.7015204,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,8.0,2.188721875540867,3.0,3.5709240340134247,1.1588567893746442,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
1784178277.7058096,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,8.0,2.188721875540867,3.0,3.5709240340134247,1.1588567893746442,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
1784178277.7101595,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,8.0,2.188721875540867,3.0,3.5709240340134247,1.1588567893746442,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
1784178277.7144911,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,8.0,2.188721875540867,3.0,3.5709240340134247,1.1588567893746442,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
1784178277.7188473,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,8.0,2.188721875540867,3.0,3.5709240340134247,1.1588567893746442,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
1784178277.7231095,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,8.0,2.188721875540867,3.0,3.5709240340134247,1.1588567893746442,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
1784178277.7273886,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,8.0,2.188721875540867,3.0,3.5709240340134247,1.1588567893746442,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
1784178277.7314975,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,8.0,2.188721875540867,3.0,3.5709240340134247,1.1588567893746442,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
1784178277.7354412,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,8.0,2.188721875540867,3.0,3.5709240340134247,1.1588567893746442,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
1784178277.7393162,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,8.0,2.188721875540867,3.0,3.5709240340134247,1.1588567893746442,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
1784178277.7431166,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,8.0,2.188721875540867,3.0,3.5709240340134247,1.1588567893746442,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
1784178277.747059,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,8.0,2.188721875540867,3.0,3.5709240340134247,1.1588567893746442,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
1784178277.7510824,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,8.0,2.188721875540867,3.0,3.5709240340134247,1.1588567893746442,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
1784178277.7549217,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,8.0,2.188721875540867,3.0,3.5709240340134247,1.1588567893746442,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
1784178277.7585022,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,8.0,2.188721875540867,3.0,3.5709240340134247,1.1588567893746442,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
1784178277.7622397,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,8.0,2.188721875540867,3.0,3.5709240340134247,1.1588567893746442,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
1784178277.765808,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,8.0,2.188721875540867,3.0,3.5709240340134247,1.1588567893746442,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
