ts,n_active,page_id_mean,page_id_std,page_id_max,region_low,region_midlow,region_midhigh,region_high,change_volume_sum,change_volume_mean,change_volume_max,entropy_changed_mean,entropy_changed_max,entropy_full_mean,entropy_full_std,warmup_start_ts,controller_attached_ts,test_phase_start_ts,action_ts,max_page
1784153503.3658223,5,13.4,7.255342858886822,22.0,1,2,2,0,32.0,6.4,13.0,2.1168391398948936,3.169925001442312,3.359044100316048,1.0994650259938206,1784153496,1784153796,1784153916,1784154204.1686075,32
1784153503.3692057,5,13.4,7.255342858886822,22.0,1,2,2,0,32.0,6.4,13.0,2.1168391398948936,3.169925001442312,3.359044100316048,1.0994650259938206,1784153496,1784153796,1784153916,1784154204.1686075,32
1784153503.3725004,5,13.4,7.255342858886822,22.0,1,2,2,0,32.0,6.4,13.0,2.1168391398948936,3.169925001442312,3.359044100316048,1.0994650259938206,1784153496,1784153796,1784153916,1784154204.1686075,32
1784153503.3952248,32,16.375,9.426525075551435,32.0,7,8,8,9,48220.0,1506.875,3752.0,5.5710537188956035,6.379067609024636,2.9310367354943168,0.9969469005733471,1784153496,1784153796,1784153916,1784154204.1686075,32
1784153504.4009418,5,13.4,7.255342858886822,22.0,1,2,2,0,33.0,6.6,14.0,1.7185662349318656,2.699513850319966,3.356850159250237,1.101628553521459,1784153496,1784153796,1784153916,1784154204.1686075,32
1784153504.4063814,5,13.4,7.255342858886822,22.0,1,2,2,0,33.0,6.6,14.0,1.7185662349318656,2.699513850319966,3.356850159250237,1.101628553521459,1784153496,1784153796,1784153916,1784154204.1686075,32
1784153504.4104955,5,13.4,7.255342858886822,22.0,1,2,2,0,33.0,6.6,14.0,1.7185662349318656,2.699513850319966,3.356850159250237,1.101628553521459,1784153496,1784153796,1784153916,1784154204.1686075,32
1784153504.4144351,5,13.4,7.255342858886822,22.0,1,2,2,0,33.0,6.6,14.0,1.7185662349318656,2.699513850319966,3.356850159250237,1.101628553521459,1784153496,1784153796,1784153916,1784154204.1686075,32
1784153504.4349053,32,16.375,9.426525075551435,32.0,7,8,8,9,48213.0,1506.65625,3752.0,5.571027321545031,6.375911745626372,2.930693932202784,0.997103472527883,1784153496,1784153796,1784153916,1784154204.1686075,32
1784153505.4436872,5,13.4,7.255342858886822,22.0,1,2,2,0,25.0,5.0,13.0,1.8906968319806914,3.5465935642949384,3.358425192033489,1.1007350025404226,1784153496,1784153796,1784153916,1784154204.1686075,32
1784153505.449556,5,13.4,7.255342858886822,22.0,1,2,2,0,25.0,5.0,13.0,1.8906968319806914,3.5465935642949384,3.358425192033489,1.1007350025404226,1784153496,1784153796,1784153916,1784154204.1686075,32
1784153505.453525,5,13.4,7.255342858886822,22.0,1,2,2,0,25.0,5.0,13.0,1.8906968319806914,3.5465935642949384,3.358425192033489,1.1007350025404226,1784153496,1784153796,1784153916,1784154204.1686075,32
1784153505.457278,5,13.4,7.255342858886822,22.0,1,2,2,0,25.0,5.0,13.0,1.8906968319806914,3.5465935642949384,3.358425192033489,1.1007350025404226,1784153496,1784153796,1784153916,1784154204.1686075,32
1784153505.476035,32,16.375,9.426525075551435,32.0,7,8,8,9,48219.0,1506.84375,3752.0,5.570775732290663,6.377182124331522,2.930940031075167,0.9970848841487195,1784153496,1784153796,1784153916,1784154204.1686075,32
1784153506.4849198,5,13.4,7.255342858886822,22.0,1,2,2,0,25.0,5.0,13.0,1.8906968319806914,3.546593564294939,3.358988249439308,1.1004369263940057,1784153496,1784153796,1784153916,1784154204.1686075,32
1784153506.4913197,5,13.4,7.255342858886822,22.0,1,2,2,0,25.0,5.0,13.0,1.8906968319806914,3.546593564294939,3.358988249439308,1.1004369263940057,1784153496,1784153796,1784153916,1784154204.1686075,32
1784153506.495249,5,13.4,7.255342858886822,22.0,1,2,2,0,25.0,5.0,13.0,1.8906968319806914,3.546593564294939,3.358988249439308,1.1004369263940057,1784153496,1784153796,1784153916,1784154204.1686075,32
1784153506.498876,5,13.4,7.255342858886822,22.0,1,2,2,0,25.0,5.0,13.0,1.8906968319806914,3.546593564294939,3.358988249439308,1.1004369263940057,1784153496,1784153796,1784153916,1784154204.1686075,32
1784153506.51873,32,16.375,9.426525075551435,32.0,7,8,8,9,48219.0,1506.84375,3752.0,5.571041374313275,6.377602606553083,2.931028008794826,0.997081387772176,1784153496,1784153796,1784153916,1784154204.1686075,32
1784153507.5280414,5,13.4,7.255342858886822,22.0,1,2,2,0,36.0,7.2,14.0,1.9029518539093382,2.699513850319966,3.360264565544599,1.098632505380585,1784153496,1784153796,1784153916,1784154204.1686075,32
1784153507.5339842,5,13.4,7.255342858886822,22.0,1,2,2,0,36.0,7.2,14.0,1.9029518539093382,2.699513850319966,3.360264565544599,1.098632505380585,1784153496,1784153796,1784153916,1784154204.1686075,32
1784153507.537918,5,13.4,7.255342858886822,22.0,1,2,2,0,36.0,7.2,14.0,1.9029518539093382,2.699513850319966,3.360264565544599,1.098632505380585,1784153496,1784153796,1784153916,1784154204.1686075,32
1784153507.5417676,5,13.4,7.255342858886822,22.0,1,2,2,0,36.0,7.2,14.0,1.9029518539093382,2.699513850319966,3.360264565544599,1.098632505380585,1784153496,1784153796,1784153916,1784154204.1686075,32
