ts,n_changed_pages,change_vol_bytes,entropy_mean,max_page_addr_changed
1779942234.554228,0,0,0.0000,0
1779942235.8281856,6,582,3.7474,124160719581184
1779942237.0750139,4,25,2.0572,86142976
1779942238.3329136,0,0,0.0000,0
1779942239.570586,0,0,0.0000,0
1779942240.8033957,5,185,3.9814,124160719581184
1779942242.0443888,2,17,2.9534,86134784
1779942243.2872782,0,0,0.0000,0
1779942244.5257115,0,0,0.0000,0
1779942245.7606626,5,128,3.7245,124160719581184
1779942246.993098,2,16,2.8907,86134784
1779942248.2287178,5,100,3.5090,124160719581184
1779942249.4650726,2,17,2.9534,86134784
1779942250.7011223,5,124,3.7061,124160719581184
1779942251.9516203,2,18,3.0112,86134784
1779942253.214563,0,0,0.0000,0
1779942254.4700055,0,0,0.0000,0
1779942255.739571,5,207,4.1203,124160719581184
1779942257.00017,4,20,1.9110,86142976
1779942258.2651463,0,0,0.0000,0
1779942259.523455,0,0,0.0000,0
1779942260.782462,5,109,3.7436,124160719581184
1779942262.097726,2,17,2.9534,86134784
1779942263.3497128,0,0,0.0000,0
1779942264.5997581,0,0,0.0000,0
1779942265.8539362,6,128,3.1646,124160719581184
1779942267.1347225,2,19,3.0646,86134784
1779942268.4035773,0,0,0.0000,0
1779942269.6735148,0,0,0.0000,0
1779942270.957831,7,145,3.5234,124160719581184
1779942272.2376652,0,0,0.0000,0
1779942273.554306,0,0,0.0000,0
1779942274.819859,1,35,4.2074,124160719581184
1779942276.094247,6,89,3.2920,124160567140352
1779942277.3782568,0,0,0.0000,0
1779942278.666745,0,0,0.0000,0
1779942279.9255543,1,35,4.1719,124160719581184
1779942281.21366,6,94,3.4235,124160567140352
1779942282.4843793,0,0,0.0000,0
1779942283.7485669,0,0,0.0000,0
1779942285.018865,1,32,4.0306,124160719581184
1779942286.2887042,6,88,3.2495,124160567140352
1779942287.5589406,0,0,0.0000,0
1779942288.8267026,0,0,0.0000,0
1779942290.0911303,1,35,4.2646,124160719581184
1779942291.3553224,6,126,3.5260,124160567140352
1779942292.615886,0,0,0.0000,0
1779942293.8601308,0,0,0.0000,0
1779942295.1251535,3,55,3.4920,124160719581184
1779942296.3822324,4,101,3.3016,124160550354944
1779942297.6355164,0,0,0.0000,0
1779942298.9195325,0,0,0.0000,0
1779942300.168808,3,60,3.6975,124160719581184
1779942301.4330812,4,68,3.2788,124160550354944
1779942302.706106,0,0,0.0000,0
1779942303.9687564,0,0,0.0000,0
1779942305.228414,5,134,3.8131,124160719581184
1779942306.5022817,2,17,2.9534,86134784
1779942307.7679265,1,34,4.3738,124160719581184
1779942309.0333204,6,101,3.1988,124160567140352
1779942310.295333,5,120,3.9137,124160719581184
1779942311.5439157,2,17,2.9534,86134784
1779942312.7948365,0,0,0.0000,0
1779942314.0502288,0,0,0.0000,0
1779942315.2824657,5,107,3.7428,124160719581184
1779942316.5346675,2,17,2.9534,86134784
1779942317.7850635,0,0,0.0000,0
1779942319.0317035,0,0,0.0000,0
1779942320.26844,5,106,3.5750,124160719581184
1779942321.532,2,17,2.9534,86134784
1779942322.8074756,0,0,0.0000,0
1779942324.0668027,0,0,0.0000,0
1779942325.336831,5,108,3.7101,124160719581184
1779942326.6030064,2,17,2.9534,86134784
1779942327.8910244,0,0,0.0000,0
1779942329.1634111,0,0,0.0000,0
1779942330.3970253,5,129,3.7712,124160719581184
1779942331.6322901,2,18,3.0112,86134784
1779942332.874037,0,0,0.0000,0
1779942334.131715,0,0,0.0000,0
1779942335.3645015,5,132,3.8343,124160719581184
1779942336.6053233,2,17,2.9534,86134784
1779942337.8362942,0,0,0.0000,0
1779942339.0705445,0,0,0.0000,0
1779942340.2966452,5,106,3.5779,124160719581184
1779942341.543715,2,17,2.9534,86134784
1779942342.8048596,0,0,0.0000,0
1779942344.0619013,0,0,0.0000,0
1779942345.305686,5,135,3.8858,124160719581184
1779942346.5347369,2,18,3.0112,86134784
1779942347.7550216,0,0,0.0000,0
1779942348.9766426,0,0,0.0000,0
1779942350.2083373,3,55,3.5975,124160719581184
1779942351.4502304,4,93,3.3392,124160550354944
1779942352.6996455,0,0,0.0000,0
1779942353.9525733,0,0,0.0000,0
1779942355.1934786,3,60,3.5157,124160719581184
1779942356.4401047,4,68,3.1895,124160550354944
1779942357.692637,0,0,0.0000,0
1779942358.950684,0,0,0.0000,0
1779942360.1985214,3,55,3.5856,124160719581184
1779942361.4508934,4,68,3.2848,124160550354944
1779942362.7501607,0,0,0.0000,0
1779942364.051727,0,0,0.0000,0
1779942365.3036647,5,125,3.7301,124160719581184
1779942366.5563555,2,16,2.8907,86134784
1779942367.8048723,1,34,4.2784,124160719581184
1779942369.0498211,6,112,3.3922,124160567140352
1779942370.3061593,5,140,4.1286,124160719581184
1779942371.5630586,6,37,2.0756,86163456
1779942372.8100011,0,0,0.0000,0
1779942374.0612404,0,0,0.0000,0
1779942375.3135824,5,121,3.6768,124160719581184
1779942376.575948,5,24,1.7768,86142976
1779942377.846069,0,0,0.0000,0
1779942379.121109,0,0,0.0000,0
1779942380.3903975,5,165,3.2307,124160719581184
1779942381.6574547,2,17,2.8701,86134784
1779942382.931786,0,0,0.0000,0
1779942384.2185087,0,0,0.0000,0
1779942385.5323942,5,134,3.7797,124160719581184
1779942386.7871664,2,18,2.9343,86134784
1779942388.0588996,0,0,0.0000,0
1779942389.307396,0,0,0.0000,0
1779942390.567005,5,121,3.4875,124160719581184
1779942391.836082,2,17,2.9534,86134784
1779942393.101341,0,0,0.0000,0
1779942394.3841891,0,0,0.0000,0
1779942395.633947,4,91,3.7743,124160719581184
1779942396.8714359,2,17,2.9534,86134784
1779942398.1287048,0,0,0.0000,0
1779942399.3929353,0,0,0.0000,0
1779942400.6443791,5,96,3.4516,124160719581184
1779942401.9056966,5,27,2.0984,86159360
1779942403.1635087,0,0,0.0000,0
1779942404.4170942,0,0,0.0000,0
1779942405.7092814,5,119,3.6527,124160719581184
1779942406.9576986,2,17,2.9534,86134784
1779942408.1514244,5,462,3.6518,124160719581184
1779942409.311023,3,21,2.5358,86138880
1779942410.503563,5,405,4.2338,124160719581184
1779942411.7325337,2,18,3.0112,86134784
1779942412.9192657,0,0,0.0000,0
1779942414.114058,26,2616,2.8498,124160719581184
1779942415.3179045,1,38,4.2936,124160719581184
1779942416.490039,6,414,3.4962,124160550354944
1779942417.7233045,0,0,0.0000,0
1779942418.9483533,0,0,0.0000,0
1779942420.2064462,1,39,4.3749,124160719581184
1779942421.379046,6,155,3.4358,124160550354944
1779942422.5658276,0,0,0.0000,0
1779942423.7552307,0,0,0.0000,0
1779942424.9048474,0,0,0.0000,0
1779942426.0787888,7,156,3.3939,124160719581184
1779942427.25668,0,0,0.0000,0
1779942428.420079,5,122,3.5504,124160719581184
1779942429.5943527,7,144,3.6157,124160719581184
1779942430.80482,7,129,3.3440,124160719581184
1779942432.0730278,2,17,2.9534,86134784
1779942433.294713,0,0,0.0000,0
1779942434.4764428,0,0,0.0000,0
1779942435.649376,5,103,3.5272,124160719581184
1779942436.9206505,2,17,2.9534,86134784
1779942438.1240675,0,0,0.0000,0
1779942439.2823248,0,0,0.0000,0
1779942440.4619284,5,100,3.4225,124160719581184
1779942441.6475043,2,17,2.9534,86134784
1779942442.8381855,0,0,0.0000,0
1779942444.0386777,0,0,0.0000,0
1779942445.2065983,1,35,4.0576,124160719581184
1779942446.3945365,6,85,3.2226,124160550354944
1779942447.5818224,0,0,0.0000,0
1779942448.7303665,0,0,0.0000,0
1779942449.883839,0,0,0.0000,0
1779942451.0238595,7,153,3.4265,124160719581184
1779942452.2791975,0,0,0.0000,0
1779942453.4771185,0,0,0.0000,0
1779942454.66132,0,0,0.0000,0
1779942455.8158638,5,135,3.5076,124160719581184
1779942456.9662132,2,17,2.9534,86134784
1779942458.126856,0,0,0.0000,0
1779942459.287325,0,0,0.0000,0
1779942460.4450748,3,86,3.8012,124160719581184
1779942461.6080253,4,34,2.9534,124159921221632
1779942462.8299127,0,0,0.0000,0
1779942464.0271902,0,0,0.0000,0
1779942465.1681547,1,34,4.1019,124160719581184
1779942466.3470309,6,107,3.3522,124160550354944
1779942467.5014644,0,0,0.0000,0
1779942468.654503,0,0,0.0000,0
1779942469.8471546,0,0,0.0000,0
1779942471.0112667,7,140,3.3678,124160719581184
1779942472.1791046,1,1,0.0000,85979136
1779942473.3740523,0,0,0.0000,0
1779942474.5081127,0,0,0.0000,0
1779942475.6609824,5,103,3.4084,124160719581184
1779942476.8001173,2,17,2.9534,86134784
1779942477.9586868,0,0,0.0000,0
1779942479.1259706,0,0,0.0000,0
