ts,n_changed_pages,change_vol_bytes,entropy_mean,max_page_addr_changed
1779937482.8915377,12,1083,3.2841,132126359547904
1779937484.2110457,4,23,1.8962,86142976
1779937485.5108733,0,0,0.0000,0
1779937486.815985,0,0,0.0000,0
1779937488.1072612,7,566,4.1818,132126359547904
1779937489.3947875,2,18,3.0112,86134784
1779937490.7076325,0,0,0.0000,0
1779937491.9802153,0,0,0.0000,0
1779937493.2797318,11,3169,3.9971,132126359547904
1779937494.568492,11,38,1.0214,86159360
1779937495.849566,5,231,3.7570,132126359547904
1779937497.141619,3,57,3.3738,132126359547904
1779937498.4307146,10,772,3.4415,132126299226112
1779937499.7125766,0,0,0.0000,0
1779937500.9982805,0,0,0.0000,0
1779937502.306893,1,35,4.1614,132126359547904
1779937503.5970058,8,713,3.8000,132126299226112
1779937504.8936317,0,0,0.0000,0
1779937506.1934886,0,0,0.0000,0
1779937507.4835136,3,55,3.4824,132126359547904
1779937508.7808392,6,404,3.8762,132125667876864
1779937510.0875359,0,0,0.0000,0
1779937511.374366,0,0,0.0000,0
1779937512.6781538,7,551,3.9390,132126359547904
1779937513.9762728,2,19,3.0646,86134784
1779937515.2697241,0,0,0.0000,0
1779937516.5605593,0,0,0.0000,0
1779937517.8521268,7,133,3.6328,132126359547904
1779937519.1477377,2,16,2.8907,86134784
1779937520.4481375,0,0,0.0000,0
1779937521.7354085,0,0,0.0000,0
1779937523.0173204,7,184,3.7095,132126359547904
1779937524.3042755,2,18,3.0112,86134784
1779937525.5835667,0,0,0.0000,0
1779937526.8768227,0,0,0.0000,0
1779937528.171845,7,210,3.7150,132126359547904
1779937529.4590256,2,18,3.0112,86134784
1779937530.7465189,0,0,0.0000,0
1779937532.0320373,0,0,0.0000,0
1779937533.3214722,9,147,3.4203,132126359547904
1779937534.6213555,0,0,0.0000,0
1779937535.9539146,0,0,0.0000,0
1779937537.2405171,1,35,4.2646,132126359547904
1779937538.5271106,8,170,3.6114,132126299226112
1779937539.8142424,0,0,0.0000,0
1779937541.0980413,0,0,0.0000,0
1779937542.373317,1,35,4.2646,132126359547904
1779937543.6474044,8,117,3.3899,132126299226112
1779937544.9253514,0,0,0.0000,0
1779937546.2052927,0,0,0.0000,0
1779937547.4831235,3,55,3.5136,132126359547904
1779937548.7503428,6,138,3.5389,132125667876864
1779937550.0161648,0,0,0.0000,0
1779937551.2910159,0,0,0.0000,0
1779937552.5773883,5,132,4.0775,132126359547904
1779937553.8638523,4,43,2.9468,132125659484160
1779937555.1562157,1,34,4.2784,132126359547904
1779937556.4449315,6,138,3.3902,132126299226112
1779937557.7216868,7,225,3.8917,132126359547904
1779937559.0091314,2,18,2.9343,86134784
1779937560.297989,0,0,0.0000,0
1779937561.6092217,0,0,0.0000,0
1779937562.882517,7,163,3.6728,132126359547904
1779937564.1454687,2,18,3.0112,86134784
1779937565.4055288,0,0,0.0000,0
1779937566.6896122,0,0,0.0000,0
1779937568.1583624,7,132,3.6697,132126359547904
1779937569.6474683,2,18,3.0112,86134784
1779937571.1304376,0,0,0.0000,0
1779937572.6652682,7,136,3.5375,132126359547904
1779937574.1590843,2,18,3.0112,86134784
1779937575.6649165,0,0,0.0000,0
1779937577.1731367,1,32,4.1167,132126359547904
1779937578.6823297,8,159,3.5004,132126299226112
1779937580.1887844,0,0,0.0000,0
1779937581.6982071,0,0,0.0000,0
1779937583.2136652,7,138,3.5628,132126359547904
1779937584.7475202,2,18,2.9343,86134784
1779937586.2677696,0,0,0.0000,0
1779937587.7702436,7,130,3.5607,132126359547904
1779937589.2932937,2,18,3.0112,86134784
1779937590.812469,0,0,0.0000,0
1779937592.3234384,1,38,4.1754,132126359547904
1779937593.6056237,8,218,3.7347,132126299226112
1779937594.930209,0,0,0.0000,0
1779937596.2091372,0,0,0.0000,0
1779937597.479142,3,213,4.5734,132126359547904
1779937598.7637541,9,144,2.6427,132125667876864
1779937600.0363119,1,37,4.2089,132126359547904
1779937601.3083336,6,406,3.1978,132126299226112
1779937602.5900202,3,318,4.6102,132126359547904
1779937603.864045,6,133,3.4886,132125667876864
1779937605.1393883,0,0,0.0000,0
1779937606.4275932,0,0,0.0000,0
1779937607.6915524,7,211,3.9318,132126359547904
1779937608.9810166,2,18,3.0112,86134784
1779937610.269369,0,0,0.0000,0
1779937611.5551698,0,0,0.0000,0
1779937612.8342078,7,167,3.7054,132126359547904
1779937614.1351476,2,17,2.8701,86134784
1779937615.429693,3,149,4.2951,132126359547904
1779937616.7308006,4,36,3.0563,132125659484160
1779937618.0278995,7,302,4.1036,132126359547904
1779937619.3120952,6,39,2.2426,86163456
1779937620.6055574,0,0,0.0000,0
1779937621.883594,0,0,0.0000,0
1779937623.1735272,7,493,4.1817,132126359547904
1779937624.4629,2,18,3.0112,86134784
1779937625.7650313,0,0,0.0000,0
1779937627.0738146,0,0,0.0000,0
1779937628.3741217,9,261,3.6563,132126359547904
1779937629.6465557,3,110,4.1509,132126359547904
1779937630.9143157,6,49,2.4555,132125667876864
1779937632.1895726,1,37,4.4119,132126359547904
1779937633.4780293,8,422,3.8032,132126299226112
1779937634.7826636,0,0,0.0000,0
1779937636.0762165,0,0,0.0000,0
1779937637.3684,1,35,4.0360,132126359547904
1779937638.6426685,8,156,3.5094,132126299226112
1779937639.927372,0,0,0.0000,0
1779937641.180374,0,0,0.0000,0
1779937642.460167,3,58,3.5286,132126359547904
1779937643.7629979,6,96,3.4260,132125667876864
