ts,n_changed_pages,change_vol_bytes,entropy_mean,max_page_addr_changed
1779937274.4760983,0,0,0.0000,0
1779937275.0655198,0,0,0.0000,0
1779937275.6342182,0,0,0.0000,0
1779937276.1712244,0,0,0.0000,0
1779937276.7142627,0,0,0.0000,0
1779937277.2498202,0,0,0.0000,0
1779937277.8125758,0,0,0.0000,0
1779937278.3543983,0,0,0.0000,0
1779937278.9595807,0,0,0.0000,0
1779937279.4979312,0,0,0.0000,0
1779937280.0687861,0,0,0.0000,0
1779937280.6026647,0,0,0.0000,0
1779937281.137386,25,3124,3.4841,123333238190080
1779937281.6872013,23,1431,2.8418,123333238190080
1779937282.280015,14,749,3.5158,123333238190080
1779937282.8738737,17,1833,3.6296,123333238190080
1779937283.5039735,16,1767,3.6535,123333238190080
1779937284.0917735,16,1384,3.1584,123333238190080
1779937284.6811075,20,1421,2.8535,123333238190080
1779937285.270116,15,1336,3.4476,123333238190080
1779937285.8569586,17,2739,3.6358,123333238190080
1779937286.4449594,30,1611,3.1597,123333238190080
1779937287.1761868,15,816,2.9991,123333238190080
1779937287.9081464,0,0,0.0000,0
1779937288.6385102,0,0,0.0000,0
1779937289.3877716,0,0,0.0000,0
1779937290.1186893,0,0,0.0000,0
1779937290.847872,0,0,0.0000,0
1779937291.582328,0,0,0.0000,0
1779937292.366402,2,44,2.2496,123333238190080
1779937293.10486,3,11,1.5480,86134784
1779937293.8480256,1,38,4.5439,123333238190080
1779937294.5943365,6,21,1.4586,86159360
1779937295.3680978,0,0,0.0000,0
1779937296.0955052,15,271,2.3497,123333238190080
1779937296.8286173,30,2182,2.7124,123333238190080
1779937297.5702968,9,298,2.1371,935186432
1779937298.3000343,0,0,0.0000,0
1779937299.0667517,0,0,0.0000,0
1779937299.7962494,30,2911,3.0239,123333238190080
1779937300.5816238,29,3250,3.4064,123333238190080
1779937301.3683815,12,347,2.0352,123333238190080
1779937302.15516,7,22,1.1459,86159360
1779937302.9388351,1,42,4.4633,123333238190080
1779937303.7223694,9,820,3.6954,123332980621312
1779937304.5056717,1,38,4.4316,123333238190080
1779937305.3008282,15,684,2.6302,123333238190080
1779937306.118589,25,2657,3.1040,123333238190080
1779937306.90465,21,639,2.3352,123332963835904
1779937307.6895247,0,0,0.0000,0
1779937308.4748578,3,130,3.8625,123333238190080
1779937309.2566695,2,13,2.5850,86134784
1779937310.0364282,0,0,0.0000,0
1779937310.8148665,0,0,0.0000,0
1779937311.591317,8,480,3.8143,123333238190080
1779937312.3708034,8,289,1.9282,86159360
1779937313.148778,29,2897,2.8376,123333238190080
1779937313.9389515,0,0,0.0000,0
1779937314.7151098,0,0,0.0000,0
1779937315.5357778,5,495,4.5594,123333238190080
1779937316.3194802,21,848,2.3637,123333238190080
1779937317.1040256,31,2144,3.2323,123333238190080
1779937317.9588337,7,908,4.2774,123333238190080
1779937318.7655883,11,60,1.5281,86159360
1779937319.5535529,0,0,0.0000,0
1779937320.3337734,0,0,0.0000,0
1779937321.1142578,1,41,4.0644,123333238190080
1779937321.9198022,15,1240,2.5689,123333238190080
1779937322.7064574,2,17,2.8502,86134784
1779937323.4836364,0,0,0.0000,0
1779937324.260451,0,0,0.0000,0
1779937325.037867,0,0,0.0000,0
1779937325.8163145,0,0,0.0000,0
1779937326.6546586,1,37,4.1957,123333238190080
1779937327.429617,8,609,4.1481,123332980621312
1779937328.212713,0,0,0.0000,0
1779937328.9915748,0,0,0.0000,0
1779937329.781253,0,0,0.0000,0
1779937330.5961978,0,0,0.0000,0
1779937331.422112,1,39,4.2530,123333238190080
1779937332.2561326,8,464,3.7570,123332980621312
1779937333.0406432,0,0,0.0000,0
1779937333.8256757,0,0,0.0000,0
1779937334.6144006,11,777,2.8240,123333238190080
1779937335.3960805,0,0,0.0000,0
1779937336.1755545,0,0,0.0000,0
1779937336.963111,7,608,4.2787,123333238190080
1779937337.7460415,2,17,2.9534,86134784
1779937338.52522,0,0,0.0000,0
1779937339.301215,0,0,0.0000,0
1779937340.076715,0,0,0.0000,0
1779937340.856668,0,0,0.0000,0
1779937341.6345673,1,42,4.2704,123333238190080
1779937342.4130914,8,474,3.8004,123332980621312
1779937343.218636,0,0,0.0000,0
1779937344.0243578,0,0,0.0000,0
1779937344.8744826,0,0,0.0000,0
1779937345.6550467,1,39,4.4775,123333238190080
1779937346.430186,7,119,3.2604,123333238190080
1779937347.2352364,8,448,3.8940,123332980621312
1779937348.023663,0,0,0.0000,0
1779937348.810544,0,0,0.0000,0
1779937349.58635,0,0,0.0000,0
1779937350.3608081,0,0,0.0000,0
1779937351.137755,0,0,0.0000,0
1779937351.913904,7,231,4.0376,123333238190080
1779937352.6932886,2,17,2.9534,86134784
1779937353.478503,0,0,0.0000,0
1779937354.2583377,0,0,0.0000,0
1779937355.0354714,0,0,0.0000,0
1779937355.813213,0,0,0.0000,0
1779937356.587339,1,35,3.9760,123333238190080
1779937357.3662605,12,213,2.6348,123332980621312
1779937358.1534483,0,0,0.0000,0
1779937358.9311113,0,0,0.0000,0
1779937359.7101793,0,0,0.0000,0
1779937360.4857748,0,0,0.0000,0
1779937361.2656977,0,0,0.0000,0
1779937362.0447822,7,203,3.7626,123333238190080
1779937362.8375556,6,32,1.7631,86159360
1779937363.613836,0,0,0.0000,0
1779937364.3889909,0,0,0.0000,0
1779937365.1682274,0,0,0.0000,0
1779937365.9824855,0,0,0.0000,0
1779937366.8272803,5,265,4.2983,123333238190080
1779937367.6134255,8,57,2.1423,123332468928512
1779937368.402226,0,0,0.0000,0
1779937369.1841767,0,0,0.0000,0
1779937369.964587,0,0,0.0000,0
1779937370.7442284,0,0,0.0000,0
1779937371.5915172,1,35,4.1614,123333238190080
1779937372.505905,8,151,3.5226,123332980621312
1779937373.3092017,0,0,0.0000,0
1779937374.1657765,0,0,0.0000,0
1779937375.0270944,0,0,0.0000,0
1779937375.8054454,0,0,0.0000,0
1779937376.581485,1,37,4.2497,123333238190080
1779937377.3505108,8,149,3.5538,123332980621312
1779937378.1206872,0,0,0.0000,0
1779937378.8768346,0,0,0.0000,0
1779937379.6361916,0,0,0.0000,0
1779937380.390296,0,0,0.0000,0
1779937381.1410105,0,0,0.0000,0
1779937381.893587,7,137,3.7328,123333238190080
1779937382.6521065,2,17,2.9534,86134784
1779937383.4117107,0,0,0.0000,0
1779937384.1657634,0,0,0.0000,0
1779937384.9188776,0,0,0.0000,0
1779937385.6792428,0,0,0.0000,0
1779937386.436328,1,119,4.0881,123333238190080
1779937387.1987815,9,270,3.7690,123333238190080
1779937387.9548142,0,0,0.0000,0
1779937388.7128549,0,0,0.0000,0
1779937389.463075,0,0,0.0000,0
1779937390.2184665,0,0,0.0000,0
1779937390.9718878,0,0,0.0000,0
1779937391.727308,3,100,4.2996,123333238190080
1779937392.505568,6,86,3.3527,123332955443200
1779937393.2650247,0,0,0.0000,0
1779937394.019793,1,37,4.3374,123333238190080
1779937394.8118064,6,437,3.4600,123332955443200
1779937395.567511,0,0,0.0000,0
1779937396.366534,0,0,0.0000,0
1779937397.153477,9,519,3.9173,123333238190080
1779937397.938733,0,0,0.0000,0
1779937398.7246675,0,0,0.0000,0
1779937399.499154,0,0,0.0000,0
1779937400.2795339,0,0,0.0000,0
1779937401.0628104,0,0,0.0000,0
1779937401.837639,3,150,4.4700,123333238190080
1779937402.6156046,6,108,3.4070,123332955443200
1779937403.3946931,0,0,0.0000,0
1779937404.1714616,0,0,0.0000,0
1779937404.9510622,0,0,0.0000,0
1779937405.7373834,1,39,4.3236,123333238190080
1779937406.548088,7,190,3.5174,123333238190080
1779937407.3423462,8,235,3.7410,123332980621312
1779937408.1177046,0,0,0.0000,0
1779937408.8966575,0,0,0.0000,0
1779937409.673736,0,0,0.0000,0
1779937410.4515483,0,0,0.0000,0
1779937411.2307892,0,0,0.0000,0
1779937412.0113635,7,187,3.7599,123333238190080
1779937412.7916684,2,17,2.8701,86134784
1779937413.5724716,0,0,0.0000,0
1779937414.3507268,0,0,0.0000,0
1779937415.1313865,0,0,0.0000,0
1779937415.9453876,0,0,0.0000,0
1779937416.7273388,3,54,3.5407,123333238190080
1779937417.5080729,6,128,3.5515,123332955443200
1779937418.285849,0,0,0.0000,0
1779937419.0664563,0,0,0.0000,0
1779937419.8454392,0,0,0.0000,0
1779937420.6176639,0,0,0.0000,0
1779937421.3909147,0,0,0.0000,0
1779937422.173847,9,150,3.5055,123333238190080
1779937422.9572985,0,0,0.0000,0
1779937423.7346814,0,0,0.0000,0
1779937424.5116184,0,0,0.0000,0
1779937425.2950587,0,0,0.0000,0
1779937426.074767,0,0,0.0000,0
1779937426.8590407,3,55,3.6507,123333238190080
1779937427.6343343,6,131,3.6842,123332955443200
1779937428.413235,0,0,0.0000,0
1779937429.1948352,0,0,0.0000,0
1779937429.9677072,0,0,0.0000,0
1779937431.0754108,0,0,0.0000,0
1779937431.83925,3,97,4.3567,123333238190080
1779937432.6037228,6,73,3.2934,123332955443200
1779937433.386801,0,0,0.0000,0
1779937434.1647983,0,0,0.0000,0
1779937434.9421422,0,0,0.0000,0
1779937435.7175434,0,0,0.0000,0
1779937436.4948137,1,40,4.4153,123333238190080
1779937437.2504854,8,233,3.7233,123332980621312
1779937438.0106716,0,0,0.0000,0
1779937438.7778044,0,0,0.0000,0
1779937439.5400112,0,0,0.0000,0
1779937440.3080158,0,0,0.0000,0
1779937441.7226837,1,37,4.1753,123333238190080
1779937442.4813676,8,180,3.5687,123332980621312
1779937443.2460725,0,0,0.0000,0
1779937444.0042906,0,0,0.0000,0
1779937444.7582047,0,0,0.0000,0
1779937445.5130217,0,0,0.0000,0
1779937446.2797341,0,0,0.0000,0
1779937447.05453,7,159,3.8508,123333238190080
1779937447.8149624,2,17,2.8701,86134784
1779937448.5881045,0,0,0.0000,0
1779937449.3398564,0,0,0.0000,0
1779937450.1030571,0,0,0.0000,0
1779937450.8762443,0,0,0.0000,0
1779937451.6441722,1,35,4.2646,123333238190080
1779937452.426147,8,129,3.4505,123332980621312
1779937453.1971993,0,0,0.0000,0
