ts,n_changed_pages,change_vol_bytes,entropy_mean,max_page_id_changed
1779882082.8391821,75,0,0.0000,62224
1779882083.6937475,0,0,0.0000,0
1779882084.2293077,8,0,0.0000,53244
1779882085.0840077,0,0,0.0000,0
1779882085.6163309,0,0,0.0000,0
1779882086.4645898,0,0,0.0000,0
1779882087.3498785,9,0,0.0000,62224
1779882088.230923,44,0,0.0000,29625
1779882088.7649367,0,0,0.0000,0
1779882089.293987,0,0,0.0000,0
1779882090.1461077,0,0,0.0000,0
1779882090.6605594,52,0,0.0000,62224
1779882091.5136025,0,0,0.0000,0
1779882092.04174,0,0,0.0000,0
1779882092.9075162,0,0,0.0000,0
1779882093.781443,0,0,0.0000,0
1779882094.6403255,3,0,0.0000,62224
1779882095.5180333,50,0,0.0000,53244
1779882096.044881,0,0,0.0000,0
1779882096.5814137,0,0,0.0000,0
1779882097.4565403,0,0,0.0000,0
1779882098.3351514,0,0,0.0000,0
1779882099.2337058,0,0,0.0000,0
1779882100.102171,15,0,0.0000,62224
1779882100.9836953,36,0,0.0000,12892
1779882101.5170555,0,0,0.0000,0
1779882102.0516462,0,0,0.0000,0
1779882102.9090877,0,0,0.0000,0
1779882103.7932136,0,0,0.0000,0
1779882104.6909628,4,0,0.0000,62224
1779882105.5880935,47,0,0.0000,44855
1779882106.126279,31,1708,3.3097,62225
1779882106.6606367,36,0,0.0000,11560
1779882107.1958907,0,0,0.0000,0
1779882107.7223372,0,0,0.0000,0
1779882108.6181674,12,0,0.0000,62224
1779882109.5043173,153,0,0.0000,53965
1779882110.0377605,2,0,0.0000,62224
1779882110.5609007,47,0,0.0000,53268
1779882111.0928257,0,0,0.0000,0
1779882111.6244552,0,0,0.0000,0
1779882112.4916668,0,0,0.0000,0
1779882113.3655457,0,0,0.0000,0
1779882114.2145936,0,0,0.0000,0
1779882115.0569801,13,0,0.0000,62224
1779882115.9310498,35,0,0.0000,18794
1779882116.463426,0,0,0.0000,0
1779882117.3243144,0,0,0.0000,0
1779882118.214966,0,0,0.0000,0
1779882119.104189,0,0,0.0000,0
1779882119.9853477,13,0,0.0000,62224
1779882120.8666284,37,0,0.0000,18794
1779882121.4034426,0,0,0.0000,0
1779882121.931624,0,0,0.0000,0
1779882122.8137326,0,0,0.0000,0
1779882123.697954,0,0,0.0000,0
1779882124.5727441,2,0,0.0000,62224
1779882125.448349,50,0,0.0000,53244
1779882125.9821007,0,0,0.0000,0
1779882126.515071,0,0,0.0000,0
1779882127.3733757,0,0,0.0000,0
1779882128.2492347,0,0,0.0000,0
1779882129.1416793,0,0,0.0000,0
1779882130.0104158,13,0,0.0000,62224
1779882130.893356,37,0,0.0000,18794
1779882131.4224758,0,0,0.0000,0
1779882131.9575777,0,0,0.0000,0
1779882132.8393989,0,0,0.0000,0
1779882133.7204351,0,0,0.0000,0
1779882134.5868137,7,0,0.0000,62224
1779882135.463756,53,0,0.0000,53244
1779882136.0069501,21,493,2.7916,62225
1779882136.5468442,7,332,4.6094,62224
1779882137.0898438,43,0,0.0000,29627
1779882137.6199634,0,0,0.0000,0
1779882138.1557956,0,0,0.0000,0
1779882139.0489533,0,0,0.0000,0
1779882139.9275548,0,0,0.0000,0
1779882140.8179834,0,0,0.0000,0
1779882141.7233307,52,0,0.0000,62224
1779882142.5945587,5,0,0.0000,66
1779882143.1271338,0,0,0.0000,0
1779882143.6554556,0,0,0.0000,0
1779882144.5258462,0,0,0.0000,0
1779882145.372304,0,0,0.0000,0
1779882146.2650003,8,0,0.0000,62224
1779882147.1688685,41,0,0.0000,29627
1779882147.7115426,0,0,0.0000,0
1779882148.2653368,0,0,0.0000,0
1779882149.1400673,0,0,0.0000,0
1779882150.0246513,0,0,0.0000,0
1779882150.9023368,0,0,0.0000,0
1779882151.7741654,50,0,0.0000,62224
1779882152.6513236,0,0,0.0000,0
1779882153.1830282,0,0,0.0000,0
1779882154.0641053,0,0,0.0000,0
1779882154.953411,0,0,0.0000,0
1779882155.8404703,0,0,0.0000,0
1779882156.731349,46,0,0.0000,62224
1779882157.5983474,2,0,0.0000,60
1779882158.128924,0,0,0.0000,0
1779882158.654925,0,0,0.0000,0
1779882159.5117464,0,0,0.0000,0
1779882160.3845758,0,0,0.0000,0
1779882161.257054,5,0,0.0000,62224
1779882162.1319163,42,0,0.0000,36471
1779882162.6611338,0,0,0.0000,0
1779882163.6134427,0,0,0.0000,0
1779882164.1238296,26,0,0.0000,62224
1779882165.03318,21,0,0.0000,11524
1779882165.9474828,0,0,0.0000,0
1779882166.4802928,0,0,0.0000,0
1779882167.3809774,0,0,0.0000,0
1779882168.2685802,0,0,0.0000,0
