ts,n_changed_pages,change_vol_bytes,entropy_mean,max_page_addr_changed
1779936899.2430477,9,479,2.9449,129023690928128
1779936900.5613148,6,147,3.4214,129023535460352
1779936901.8707736,0,0,0.0000,0
1779936903.1612968,1,43,4.5829,129023690928128
1779936904.5016997,6,101,3.4832,129023535460352
1779936905.8195236,0,0,0.0000,0
1779936907.1266606,0,0,0.0000,0
1779936908.4229412,3,99,3.9571,129023690928128
1779936909.7282622,5,80,3.3396,129023690928128
1779936911.0315437,17,2170,2.2515,129023535460352
1779936912.332122,0,0,0.0000,0
1779936913.625956,5,223,4.0717,129023690928128
1779936914.9535975,2,17,2.8701,86134784
1779936916.2962477,0,0,0.0000,0
1779936917.5571167,0,0,0.0000,0
1779936918.814353,5,193,4.1346,129023690928128
1779936920.0878403,4,20,1.9110,86142976
1779936921.4328384,0,0,0.0000,0
1779936922.79581,1,121,4.1805,129023690928128
1779936924.1835911,7,215,3.6281,129023690928128
1779936925.5224168,0,0,0.0000,0
1779936926.8330147,0,0,0.0000,0
1779936928.1562192,1,32,4.1167,129023690928128
1779936929.4411442,6,98,3.4004,129023535460352
1779936930.7276866,0,0,0.0000,0
1779936932.0039942,0,0,0.0000,0
1779936933.3191066,3,63,3.7832,129023690928128
1779936934.595433,4,111,3.4781,129023015374848
1779936935.8785372,0,0,0.0000,0
1779936937.3080196,0,0,0.0000,0
1779936938.6448386,5,150,3.6933,129023690928128
1779936940.1901271,2,17,2.8701,86134784
1779936941.7402604,0,0,0.0000,0
1779936943.2847793,3,61,3.5986,129023690928128
1779936944.8472397,4,73,3.2800,129023015374848
1779936946.2056766,0,0,0.0000,0
1779936947.492627,0,0,0.0000,0
1779936948.8000598,5,112,3.7153,129023690928128
1779936950.1357703,2,17,2.9534,86134784
1779936951.4436936,0,0,0.0000,0
1779936952.7560172,0,0,0.0000,0
1779936954.0240607,5,116,3.6527,129023690928128
1779936955.2986827,2,17,2.9534,86134784
1779936956.565709,0,0,0.0000,0
1779936957.8539066,1,41,4.2874,129023690928128
1779936959.3231924,7,140,3.3334,129023690928128
1779936960.7472677,6,117,3.2393,129023535460352
1779936962.0462627,0,0,0.0000,0
1779936963.3266053,1,41,4.2172,129023690928128
1779936964.613375,6,130,3.5003,129023535460352
1779936965.9027224,0,0,0.0000,0
1779936967.1867974,0,0,0.0000,0
1779936968.4696798,3,63,3.7332,129023690928128
1779936969.7563677,4,72,3.2629,129023015374848
1779936971.0501919,0,0,0.0000,0
1779936972.345734,0,0,0.0000,0
1779936973.6392803,5,135,3.8415,129023690928128
1779936974.9675846,2,19,3.0646,86134784
1779936976.3071215,0,0,0.0000,0
1779936977.6540513,0,0,0.0000,0
1779936978.9728014,7,870,3.8666,129023690928128
1779936980.287964,2,19,3.0646,86134784
1779936981.6015484,0,0,0.0000,0
1779936982.9539762,1,35,4.0332,129023690928128
1779936984.2804635,10,720,3.3609,129023535460352
1779936985.6597168,0,0,0.0000,0
1779936986.9961603,0,0,0.0000,0
1779936988.308577,1,37,4.2834,129023690928128
1779936989.5941424,8,442,3.7828,129023535460352
1779936990.941108,0,0,0.0000,0
1779936992.2835774,0,0,0.0000,0
1779936993.5903752,7,479,3.9596,129023690928128
1779936994.8965912,2,17,2.9534,86134784
1779936996.2516842,0,0,0.0000,0
1779936997.6029136,0,0,0.0000,0
1779936999.005496,7,133,3.5905,129023690928128
1779937000.3620794,2,17,2.9534,86134784
1779937001.675884,0,0,0.0000,0
1779937003.1606224,1,32,4.0039,129023690928128
1779937004.4879518,8,116,3.3180,129023535460352
1779937005.9138308,0,0,0.0000,0
1779937007.2112696,0,0,0.0000,0
1779937008.5028563,3,97,4.0750,129023690928128
1779937009.9080124,6,71,3.2355,129023023767552
1779937011.4710932,0,0,0.0000,0
1779937012.7679052,0,0,0.0000,0
1779937014.073514,7,297,4.3050,129023690928128
1779937015.360084,2,18,3.0112,86134784
1779937016.7805445,0,0,0.0000,0
1779937018.2019854,1,41,4.4427,129023690928128
1779937019.5766397,9,195,3.6562,129023690928128
1779937021.279036,4,97,3.3141,129023015374848
1779937022.9810941,1,37,4.4119,129023690928128
1779937024.3980858,8,182,3.8065,129023535460352
1779937025.814952,0,0,0.0000,0
1779937027.3709483,0,0,0.0000,0
1779937028.721294,7,199,3.8783,129023690928128
1779937030.0741503,2,18,3.0112,86134784
1779937031.400669,0,0,0.0000,0
1779937032.7160525,0,0,0.0000,0
1779937034.0291028,7,170,3.8281,129023690928128
1779937035.3568952,6,35,2.0222,86163456
1779937036.7251613,0,0,0.0000,0
1779937038.1375294,1,38,4.3462,129023690928128
1779937039.5074832,8,230,3.7471,129023535460352
1779937040.8304732,0,0,0.0000,0
1779937042.1575668,0,0,0.0000,0
1779937043.4977057,3,173,4.5786,129023690928128
