scenario,rep_id,direct_anchor,reactive_cascade,induced_cascade,periodic_gap,endogenous_unexplained,indeterminate,duration_s,induced_cascade_count,per_hour_rate,threshold_used,n_test_iters,n_ext,audit_era
E_attack_single_rule,E_attack_single_rule_rep2_1779780861,42,10,111,14,28,0,441.91,111,904.3,48297.0,1540,205,sparse
E_attack_single_rule,E_attack_single_rule_rep3_1779781893,84,37,150,89,125,0,451.34,150,1196.4,48301.0,1449,485,sparse
F_attack_burst,F_attack_burst_rep1_1779782895,108,46,136,57,71,0,444.34,136,1101.9,48314.0,1558,418,sparse
F_attack_burst,F_attack_burst_rep1_1779919045,96,45,154,88,84,0,491.96,154,1126.9,48146.0,1737,467,sparse
F_attack_burst,F_attack_burst_rep1_1779920089,87,42,160,80,128,0,490.94,160,1173.3,47810.0,1710,497,sparse
F_attack_burst,F_attack_burst_rep1_1779921141,56,16,154,37,51,0,494.35,154,1121.5,48282.0,1664,314,sparse
F_attack_burst,F_attack_burst_rep1_1779922178,105,47,147,89,124,0,493.18,147,1073.0,48297.0,1690,512,sparse
F_attack_burst,F_attack_burst_rep1_1779923207,84,51,41,80,125,0,495.29,41,298.0,48290.0,1672,381,sparse
F_attack_burst,F_attack_burst_rep1_1779924218,83,39,58,90,121,0,491.84,58,424.5,48123.0,1687,391,sparse
F_attack_burst,F_attack_burst_rep1_1779925262,100,40,149,58,125,0,485.72,149,1104.3,48108.0,1620,472,sparse
F_attack_burst,F_attack_burst_rep2_1779783887,73,33,143,97,123,0,446.89,143,1152.0,48232.0,1582,469,sparse
F_attack_burst,F_attack_burst_rep3_1779784878,98,39,136,83,114,0,446.55,136,1096.4,48047.0,1519,470,sparse
