system,surface,action,n_reps,baseline_pages,peak_pages_mean,peak_pages_std,amplification
Redis,small,SET (1 key),16,33.5014436753994,60.875,17.006891985309956,1.8170858721739624
Redis,medium,MSET (100 keys),13,35.798438102559444,70.3076923076923,9.35113827200991,1.9639877054486796
Redis,large,FLUSHDB,13,35.97608173674169,143.92307692307693,163.95705888970843,4.000521178939034
Dockerd,small,docker version (readback),12,4.782176944540359,23.5,22.787057730211682,4.9140799833492395
Dockerd,medium,1 container,10,10.122423102097114,570.1,838.6186797347171,56.32050688356323
Dockerd,large,10 containers,7,50.28324471411286,1673.0,1746.0864812488526,33.27152035458133
Dockerd,xlarge,50 containers,7,25.045389401691914,2185.5714285714284,2400.51416261141,87.26442194681088
