ts,n_changed_pages,change_vol_bytes,entropy_mean,max_page_id_changed
1779886330.0386848,49,0,0.0000,12973
1779886331.111878,0,0,0.0000,0
1779886331.6526053,0,0,0.0000,0
1779886332.6351776,0,0,0.0000,0
1779886333.6531487,2,0,0.0000,63198
1779886334.6013696,50,0,0.0000,54219
1779886335.1038783,0,0,0.0000,0
1779886335.6462579,0,0,0.0000,0
1779886336.504363,0,0,0.0000,0
1779886337.3759494,0,0,0.0000,0
1779886338.2384646,0,0,0.0000,0
1779886339.1044052,14,0,0.0000,63198
1779886339.9773588,35,0,0.0000,12428
1779886340.5097113,0,0,0.0000,0
1779886341.045478,0,0,0.0000,0
1779886341.927094,0,0,0.0000,0
1779886342.831426,0,0,0.0000,0
1779886343.7375283,2,0,0.0000,63198
1779886344.6317608,54,0,0.0000,54219
1779886345.1665347,0,0,0.0000,0
1779886345.7047362,0,0,0.0000,0
1779886346.603252,0,0,0.0000,0
1779886347.495367,0,0,0.0000,0
1779886348.0424497,48,0,0.0000,63198
1779886348.9167538,0,0,0.0000,0
1779886349.4522848,0,0,0.0000,0
1779886350.322593,0,0,0.0000,0
1779886351.1794884,0,0,0.0000,0
1779886352.050911,47,0,0.0000,63198
1779886352.934415,56,1823,2.8799,63198
1779886353.813796,6,0,0.0000,62
1779886354.3496456,0,0,0.0000,0
1779886354.8846457,0,0,0.0000,0
1779886355.7586052,22,0,0.0000,63200
1779886356.7167654,105,391,2.7152,63199
1779886357.2617974,50,0,0.0000,54219
1779886357.8097763,0,0,0.0000,0
1779886358.3482516,0,0,0.0000,0
1779886359.2599535,0,0,0.0000,0
1779886360.2197852,0,0,0.0000,0
1779886361.1353369,0,0,0.0000,0
1779886362.035509,49,0,0.0000,63199
1779886362.9359381,2,0,0.0000,60
1779886363.4743154,0,0,0.0000,0
1779886364.017645,0,0,0.0000,0
1779886364.8987458,0,0,0.0000,0
1779886365.8168573,0,0,0.0000,0
1779886366.727111,11,0,0.0000,63198
1779886367.6394458,40,0,0.0000,24372
1779886368.5476892,0,0,0.0000,0
1779886369.0998976,0,0,0.0000,0
1779886370.0068579,0,0,0.0000,0
1779886370.900101,0,0,0.0000,0
1779886371.805911,13,0,0.0000,63198
1779886372.7259276,36,0,0.0000,12428
1779886373.2663586,0,0,0.0000,0
1779886373.7678018,0,0,0.0000,0
1779886374.6773062,0,0,0.0000,0
1779886375.5853689,0,0,0.0000,0
1779886376.5480313,8,0,0.0000,63198
1779886377.4316897,47,0,0.0000,39482
1779886377.9328575,0,0,0.0000,0
1779886378.4390507,0,0,0.0000,0
