ts,n_changed_pages,change_vol_bytes,entropy_mean,max_page_addr_changed
1784482024.4494858,0,0,0.0000,0
1784482024.976491,23,513,2.1067,126130103865344
1784482025.4985626,0,0,0.0000,0
1784482026.0139103,12,145,2.3709,126130103865344
1784482026.5347893,0,0,0.0000,0
1784482027.051514,12,65,1.3467,126130103865344
1784482027.5717747,0,0,0.0000,0
1784482028.0900989,12,61,1.2906,126130103865344
1784482028.6116025,0,0,0.0000,0
1784482029.1276011,12,66,1.3315,126130103865344
1784482029.6488671,0,0,0.0000,0
1784482030.167442,12,65,1.3467,126130103865344
1784482030.6887257,0,0,0.0000,0
1784482031.2060213,12,61,1.2906,126130103865344
1784482031.7314465,0,0,0.0000,0
1784482032.2462077,12,66,1.3645,126130103865344
1784482032.7663848,0,0,0.0000,0
1784482033.2835956,12,65,1.3652,126130103865344
1784482033.80398,0,0,0.0000,0
1784482034.3203259,12,61,1.2952,126130103865344
1784482034.8415716,0,0,0.0000,0
1784482035.3591743,12,66,1.3645,126130103865344
1784482035.8797376,6,28,1.0302,126130103865344
1784482036.4003484,6,37,1.6631,126130082996224
1784482036.9174516,9,53,1.6434,126130103865344
1784482037.438242,3,9,0.5000,537739264
1784482037.9571085,12,66,1.3691,126130103865344
1784482038.4785426,0,0,0.0000,0
1784482038.9973128,12,64,1.3561,126130103865344
1784482039.5186102,0,0,0.0000,0
1784482040.0374367,12,60,1.2815,126130103865344
1784482040.5584428,0,0,0.0000,0
1784482041.0771072,12,65,1.3554,126130103865344
1784482041.597824,0,0,0.0000,0
1784482042.1149654,12,65,1.3328,126130103865344
1784482042.6359522,0,0,0.0000,0
1784482043.1533594,12,61,1.2489,126130103865344
1784482043.674171,0,0,0.0000,0
1784482044.1925058,12,66,1.3830,126130103865344
1784482044.7144861,0,0,0.0000,0
1784482045.230991,12,66,1.3951,126130103865344
1784482045.7533832,0,0,0.0000,0
1784482046.2709932,12,60,1.2901,126130103865344
1784482046.7931714,0,0,0.0000,0
1784482047.3102868,12,66,1.3830,126130103865344
1784482047.8336046,0,0,0.0000,0
1784482048.3527505,12,65,1.3467,126130103865344
1784482048.8744946,4,19,1.5012,126130103865344
1784482049.3977826,8,44,1.3899,126130084065280
1784482049.9214292,9,59,1.7634,126130103865344
1784482050.4457805,3,15,1.1740,537739264
1784482050.9722686,12,66,1.3998,126130103865344
1784482051.4977481,0,0,0.0000,0
1784482052.0200107,12,61,1.3091,126130103865344
1784482052.5460496,0,0,0.0000,0
1784482053.0680883,12,67,1.4130,126130103865344
1784482053.594006,0,0,0.0000,0
1784482054.1153708,486,114591,3.1723,126130103869440
1784482054.64491,0,0,0.0000,0
